,Overall
p_v_.5,100
횟수비율_쇼핑,72.448064841
p_v_.4,63.50091508
시간비율_뉴스.미디어,54.438564896
횟수_쇼핑,46.881036016
p_v_.11,31.863588852
p_v_.20,28.534256248
v_t_median,27.009620485
mean_time_cnt,26.626709502
s_prt_mean,25.902667137
소모시간_게임,25.419979035
s_prt_median,24.771672289
n_v_.11,23.83178082
p_v_.9,22.46839708
횟수비율_뉴스.미디어,22.275306979
시간비율_게임,22.128531147
횟수비율_금융.부동산,21.863503574
p_v_.12,21.804598607
p_v_.1,21.564913438
횟수비율_제조,20.58667186
시간비율_제조,20.547470981
interval,20.06147874
시간비율_쇼핑,20.046325665
횟수비율_건강.의학,19.819123373
n_v_.4,19.730816348
횟수비율_생활.가정.취미,19.720276023
시간비율_금융.부동산,19.554434692
p_v_.17,19.40092367
소모시간_제조,19.390875425
v_pr_max,19.29174216
mon_coef_time,18.945211382
횟수비율_인터넷.컴퓨터,18.917920821
시간비율_온라인교육,18.655464861
p_v_.19,18.553094498
cat_coef_visit,18.414216786
횟수비율_게임,18.392874407
시간비율_생활.가정.취미,17.463573006
소모시간_온라인교육,17.133282682
p_v_.3,17.041766553
v_t_max,16.989571907
v_pr_sd,16.983684521
횟수비율_온라인교육,16.983638397
s_prt_max,16.426856604
p_v_.13,16.420209124
p_v_.21,16.417308974
시간비율_인터넷.컴퓨터,16.378127117
cat_coef_time,16.302576447
s_prt_sd,16.161750429
소모시간_뉴스.미디어,15.89871379
시간비율_비즈니스.경제,15.808939764
횟수비율_비즈니스.경제,15.75767744
횟수_교육.학원,15.701920345
시간비율_커뮤니티,15.691974894
횟수비율_엔터테인먼트,15.660197576
시간비율_서비스,15.608611391
day_coef_cnt,15.581613742
횟수비율_커뮤니티,15.575425642
day_coef_visit,15.558552937
mon_coef_visit,15.55748071
s_t_max,15.523040581
p_v_.16,15.505020979
횟수_서비스,15.348378381
v_t_sd,15.257827416
p_v_.18,15.224531633
p_v_.2,15.197270675
소모시간_생활.가정.취미,15.187037105
p_v_.10,15.13603856
mon_coef_cnt,15.043603002
횟수비율_정보통신.IT,15.001407974
소모시간_쇼핑,14.833116594
횟수_생활.가정.취미,14.585167704
횟수_제조,14.581463434
횟수비율_교육.학원,14.417932368
시간비율_엔터테인먼트,14.341480212
횟수비율_서비스,14.27112879
소모시간_서비스,14.256432075
소모시간_금융.부동산,14.207201861
cat_coef_cnt,14.054097433
s_pr_max,14.014462515
횟수_커뮤니티,14.00994533
wednes_z2,13.919589989
p_v_.15,13.887762721
시간비율_정보통신.IT,13.729028116
wednes_ratio2,13.549151751
소모시간_교육.학원,13.486355494
s_v_max,13.409371633
n_v_.5,13.322307646
p_v_.8,13.296559567
시간비율_교육.학원,13.262145867
net_day,13.023013614
소모시간_정보통신.IT,12.984038402
p_v_.7,12.956850594
cons_time9_we,12.796084523
thurs_z3,12.791332061
