,Overall
V242,100
V139,56.366046915
V63,31.345043879
V208,29.452092833
V267,27.584590954
V253,21.758129178
V1,21.423049733
V209,20.953576522
V80,19.73888337
V243,17.504351364
V160,16.373150825
V125,15.215194988
V175,14.598804591
V86,13.318229993
V77,13.156740052
p_v_.5,13.053536291
V62,12.634427975
p_v_.4,12.56430469
V43,12.439530357
V263,12.25512589
V294,11.525291142
V28,11.282755395
V274,11.235576811
V106,11.08286282
V186,11.036055473
V59,10.054714166
V273,9.9069612271
V249,9.7809215243
V246,9.7705280991
V256,9.482385053
V215,9.2398052725
V154,9.0746214688
V207,8.7494895598
V130,8.6441257355
V238,8.6397271517
V23,8.5797017847
V53,8.3409446755
V71,8.3390828397
V288,8.2314371311
V184,8.2066091701
V7,8.1685345803
V57,7.9789335672
V233,7.9365979093
V31,7.9278053978
V282,7.9157247788
V251,7.910773488
V55,7.8846403492
V185,7.8393510328
V34,7.8012743489
V93,7.796092765
V259,7.7552421279
V199,7.7210806137
V183,7.6562886953
V280,7.6394354077
V182,7.6167293089
V149,7.5551311515
V266,7.5355698368
V42,7.4875701095
V92,7.4234774301
V257,7.3650491693
V213,7.355747011
V231,7.3373306699
V16,7.3246629797
V40,7.2318743816
V179,7.2306087938
V264,7.1391143851
V180,7.0966880933
V255,7.0804910736
V254,7.0752026153
V281,7.0529592509
V51,7.0065948137
V234,6.9582660491
V295,6.9511240792
V52,6.9333316179
V222,6.9251905016
V116,6.879848787
V61,6.8718604145
V200,6.8389014543
V202,6.8283527946
V56,6.7453267105
V124,6.6973192668
V289,6.6744899021
V21,6.6592411596
V19,6.6587054262
V113,6.6376422714
V155,6.6156077482
V196,6.5917507319
V37,6.4998579932
V170,6.4887931313
V35,6.4573671264
V187,6.4386337802
V88,6.3932260214
V89,6.3848031492
V83,6.3736161708
V135,6.3493701868
V134,6.3234334418
V20,6.313192973
V286,6.2429395639
V142,6.2034947631
V174,6.1974946926
V115,6.1844084074
V17,6.164652619
V69,6.1176713885
V172,6.0991138793
V74,6.012384691
V204,5.9117780478
V271,5.8838663931
V189,5.8644429967
V131,5.8604440652
V287,5.8561309441
V8,5.8425385562
V269,5.8393382764
V12,5.8064723748
v_t_median,5.7759543486
V285,5.7649529982
V150,5.7628090531
V102,5.7472311514
V297,5.7188601974
V143,5.715683463
시간비율_뉴스.미디어,5.7132129483
V126,5.6971954123
V60,5.6945236322
V158,5.6933778376
소모시간_게임,5.6655796338
V105,5.6630660404
V229,5.6342654337
V291,5.6114993488
V140,5.5278135079
V101,5.5202509658
V120,5.5159925401
V221,5.5114075471
V151,5.5077163733
V163,5.4968722686
V100,5.4943089149
V121,5.4865100326
V239,5.4831052729
V157,5.4799019176
p_v_.21,5.4651694324
V193,5.4640912573
V122,5.4463484228
V3,5.4411532351
V24,5.435663231
V230,5.4302481879
V132,5.4197994284
V75,5.4082744254
V250,5.4071347126
V293,5.3921614598
V176,5.3690569231
V90,5.3662093441
V276,5.3508709816
V283,5.3479598875
V188,5.3336430146
V216,5.3276439958
V133,5.3121442654
소모시간_뉴스.미디어,5.3118996699
V292,5.2970616082
V171,5.2856984026
V111,5.2839056406
V148,5.2805909233
V299,5.274445614
V108,5.2629061832
횟수비율_뉴스.미디어,5.2622932619
V70,5.262048737
V268,5.243302711
V146,5.2417357458
V279,5.2341901517
V260,5.2268119155
V190,5.220145561
V153,5.2045743244
V214,5.1908386785
V252,5.1731103796
V161,5.1701185108
V245,5.1550839219
V58,5.1494350279
V36,5.1436529141
V127,5.1278010257
V178,5.122262712
V25,5.1091288403
V191,5.0794612926
V262,5.0790790096
V224,5.0782172849
V27,5.0623446003
V10,5.0488079856
V95,5.0266576507
V258,5.0223399039
횟수_커뮤니티,5.0144361102
V64,5.0085851421
n_v_.5,4.9977046465
V168,4.9919801037
V15,4.9734785377
V228,4.9731209974
V162,4.9653351109
V296,4.9482256439
V112,4.9080355794
V81,4.9026289754
V217,4.9013628478
V152,4.8948771919
V67,4.886796446
s_prt_mean,4.883730792
n_v_.4,4.88354058
V241,4.8610925126
횟수비율_건강.의학,4.854620529
V97,4.8533532989
p_v_.1,4.8412721139
V38,4.8313053525
V117,4.8222412459
V211,4.8185010367
V4,4.7918819948
V177,4.790722486
V159,4.7857351116
V147,4.7850678413
V87,4.7790756609
V107,4.7759072398
s_prt_median,4.7689692483
V14,4.745267999
V220,4.7095211452
V300,4.6974757952
V270,4.6969028571
V225,4.6948032908
mean_time_cnt,4.6777986855
V284,4.6774184902
V73,4.6729714894
V201,4.6707180515
시간비율_온라인교육,4.66235557
V50,4.628858579
p_v_.17,4.6132517527
시간비율_커뮤니티,4.6091849738
V203,4.601625828
V84,4.6009124807
V223,4.5879761346
V165,4.5830331627
V226,4.5793594815
V206,4.5780985266
v_pr_max,4.570914626
V72,4.5691380847
V32,4.567848596
V236,4.5547741725
V39,4.5393214165
V219,4.5296879094
V45,4.5241457917
V210,4.4927027776
횟수비율_쇼핑,4.4853308654
V166,4.4780588103
V272,4.4774140524
V47,4.4664741778
V240,4.4545601233
V181,4.44795164
V136,4.4397820432
V227,4.4285725972
p_v_.20,4.4101328459
V197,4.3955715328
V94,4.3952970162
V118,4.3890210497
wednes_ratio2,4.386225953
v_t_max,4.3716124198
V41,4.3666019208
V33,4.3633746747
횟수비율_커뮤니티,4.3512554411
V78,4.3479840771
V98,4.3424875958
interval,4.3414422797
cat_coef_visit,4.3355943483
횟수비율_금융.부동산,4.3292584876
V205,4.3256896464
V119,4.3205739268
V114,4.3205514513
V218,4.3184149951
V141,4.3180197319
V11,4.3042017829
V138,4.3003675064
s_prt_sd,4.2977550594
V29,4.2906915331
V169,4.2663897041
V68,4.2476575605
V109,4.2351898041
V30,4.2278342414
시간비율_게임,4.2277023448
V22,4.2239627542
V9,4.2225960917
V85,4.2092789708
횟수비율_인터넷.컴퓨터,4.2038330884
V103,4.2036629967
V13,4.1896455594
V49,4.1816428015
V195,4.1796055024
V79,4.1723864843
V248,4.1713187715
V192,4.162488068
V123,4.157777758
V277,4.127308642
V99,4.1144685762
v_pr_sd,4.1052808933
V137,4.0960013616
V76,4.0872085073
p_v_.9,4.0739518199
V278,4.0690956497
V66,4.0479391623
s_prt_max,4.0471193106
V167,4.0455690786
V91,4.0441053874
V44,4.0108920553
V2,4.0000052955
횟수_금융.부동산,3.9813963248
V290,3.9759371151
V96,3.9626928938
mon_coef_cnt,3.9626366647
V128,3.957771966
V156,3.9567487023
V235,3.9548629497
V48,3.9527352975
v_t_sd,3.9428217979
V65,3.9373034735
횟수비율_서비스,3.9119863507
V212,3.906862813
V237,3.9011636702
V5,3.8968807427
p_v_.13,3.8859618879
V46,3.8690117173
시간비율_생활.가정.취미,3.8629755531
cons_num9_we,3.8618115936
V82,3.8528157905
V104,3.8378199236
V26,3.8044620373
횟수비율_생활.가정.취미,3.7984066544
V265,3.7971133265
day_coef_visit,3.7963237603
cons_time9_we,3.7871853726
V298,3.7860724343
cat_coef_cnt,3.7834636094
day_coef_cnt,3.7769568901
mon_coef_visit,3.7580106897
시간비율_금융.부동산,3.7480903964
소모시간_금융.부동산,3.741669073
V198,3.7351438498
V129,3.7297802139
n_v_.21,3.7103197978
V18,3.7059892403
시간비율_제조,3.701883279
V6,3.7018057938
V244,3.6976042742
소모시간_서비스,3.689685127
V54,3.6875477406
시간비율_서비스,3.6748175012
시간비율_엔터테인먼트,3.6443019897
횟수_서비스,3.6205839682
p_v_.19,3.6117485934
횟수비율_제조,3.5924289567
V145,3.5892382249
p_v_.10,3.5786494825
V194,3.5623265739
V247,3.559441621
V110,3.5563815902
wednes_z2,3.5475126702
시간비율_건강.의학,3.5179024031
V275,3.5105842783
p_v_.18,3.4954188176
시간비율_인터넷.컴퓨터,3.4744682385
횟수비율_정보통신.IT,3.4738808473
p_v_.16,3.4729431289
s_t_max,3.4699968969
V164,3.4596766636
cat_coef_time,3.4449432248
fri_z2,3.4446443935
p_v_.7,3.4273461683
V261,3.4266758135
횟수_생활.가정.취미,3.4257376622
소모시간_생활.가정.취미,3.4110684078
mon_coef_time,3.3989839555
day_coef_time,3.3795953712
V144,3.3714901409
tues_ratio3,3.3570521412
net_day,3.3514671195
횟수비율_게임,3.3483868735
횟수비율_비즈니스.경제,3.3204699038
횟수비율_온라인교육,3.3202185252
s_pr_sd,3.3181979369
p_v_.11,3.2825186244
소모시간_정보통신.IT,3.2722037755
시간비율_정보통신.IT,3.2650175266
소모시간_제조,3.2513077341
V232,3.1923062623
s_t_median,3.1779673102
time_coef_time,3.17440032
fri_z3,3.1213040985
V173,3.1147621192
횟수비율_엔터테인먼트,3.0992200247
시간비율_쇼핑,3.0986721198
fri_ratio3,3.0726266263
p_v_.15,3.0327365709
dec_time,3.029489148
s_pr_median,3.0262571661
tues_z3,3.0249211789
횟수_게임,3.016408644
횟수_뉴스.미디어,3.0154242454
횟수_정치.행정,3.0016120584
tues_ratio2,2.9906968602
fri_ratio2,2.9796101614
cons_num13_we,2.9762187134
횟수_정보통신.IT,2.9467525297
횟수비율_유통.판매.운송,2.9463326417
wednes_ratio,2.9403639369
thurs_ratio3,2.9394872931
s_v_max,2.9297235974
cons_num12_we,2.924593797
s_pr_max,2.910699226
wednes_z3,2.9035438258
thurs_z3,2.9009539288
횟수비율_정치.행정,2.8958658342
nov_z3,2.8713600728
소모시간_엔터테인먼트,2.8713456738
fri_ratio,2.8435542415
mon_ratio3,2.8414632314
s_t_sd,2.8274983022
v_t_mean,2.8083914039
시간비율_비즈니스.경제,2.7843002441
jan_time,2.7723469631
wednes_z,2.7716610024
thurs_z,2.7678255913
jan_cnt,2.7613920204
dec_ratio2,2.758996266
tues_ratio,2.7407848302
p_v_.3,2.7297489001
