,Overall
V242,100
V139,54.405056633
V63,35.205828577
V208,30.025438766
V267,24.531738732
V253,22.53587235
V209,21.621459293
V160,19.340764934
V1,19.19926284
V80,18.595110697
V243,16.690718916
V125,15.170499317
V77,14.32742964
V86,14.305978762
V28,13.591289788
V175,13.037724205
V62,12.896047907
V263,12.632224881
V294,11.813672878
V274,10.682701523
V43,10.63344362
V273,10.554926011
V186,10.20288392
V106,9.7320815839
V249,9.2647536213
V154,9.1081826426
V59,8.9790380632
V246,8.7656921642
V34,8.6714755089
V238,8.3848210604
V215,8.3608115133
V55,8.2464077182
V16,7.9866087447
V256,7.8153439725
V199,7.7626176035
V71,7.5579359319
V207,7.5360014793
V185,7.4686514401
V53,7.3124353041
V57,7.1957270094
V183,7.146147087
V7,7.1172714963
V282,6.9885620371
V187,6.9698192849
V233,6.9274737244
V130,6.707707997
V23,6.6433024193
V116,6.5240697367
V31,6.3718567875
V150,6.3384781716
V184,6.3361708615
V288,6.2435012336
V231,6.2312090074
V202,6.1202837824
V255,6.0903828795
V75,6.0804551855
V40,6.0745339332
V51,6.0173471365
V93,6.0077520312
V92,5.972239052
V213,5.9441306508
V155,5.9022105625
V259,5.8961777528
V266,5.8116637064
V170,5.7559423692
V200,5.6610026641
V180,5.5954395078
V251,5.5788981504
V113,5.5639647939
V257,5.534192642
V61,5.5252783525
V174,5.3970577221
V254,5.3948378381
V124,5.3789074115
V88,5.341528885
V271,5.3045158387
V229,5.2366871011
V42,5.2335307142
V234,5.152931599
V56,5.116350015
V149,5.0994322759
V287,5.0511286849
V264,5.0313856041
V12,5.0172028762
V37,4.8759739814
V147,4.8458734781
V182,4.838099361
V281,4.8289529642
V89,4.810900865
V245,4.796823945
V168,4.7386080714
V262,4.7254020356
V289,4.6575631877
V250,4.6125086283
V239,4.6119094516
V291,4.6116299839
V295,4.6005924984
V140,4.5934490658
V131,4.5460923187
V216,4.5411266966
V135,4.5244851672
V115,4.5056363069
V143,4.5010901852
V83,4.4700968154
V111,4.4690235706
V179,4.4655696934
V25,4.4286888342
V269,4.415096396
V161,4.4009512213
V121,4.3933072196
V21,4.3842834465
V297,4.3761567984
V4,4.3625291785
V280,4.3406238878
V258,4.3383006327
V286,4.3296729746
V222,4.3009936318
V52,4.2934333673
V189,4.27536652
V8,4.2549273989
V203,4.2308923916
V132,4.2256635981
V17,4.2177055659
V228,4.2092202752
V24,4.2048836276
V142,4.195453862
V153,4.1854428078
V214,4.1844596054
V204,4.1756308908
V270,4.1031901889
V74,4.1007125852
V178,4.0909491623
V101,4.0796971604
V20,4.0670748696
V230,4.0319561881
V299,4.0104752098
V172,4.0057122752
V221,3.9864547348
V158,3.9753281263
V70,3.9214961238
V163,3.9056049644
V60,3.8805439801
V133,3.8413476691
V90,3.8352210647
V112,3.8338112831
V134,3.8255731933
V190,3.8225830825
V67,3.8210856675
V58,3.8118490356
V224,3.8100987891
V19,3.8060186657
V148,3.7948186722
V285,3.7748709076
V176,3.7697162454
