"","Overall"
"p_v_.4",100
"횟수비율_쇼핑",75.3149257624466
"p_v_.5",72.5876131170081
"시간비율_뉴스.미디어",67.4400261042438
"p_v_.12",42.7995036514012
"횟수_쇼핑",42.0668113111045
"횟수_제조",35.7677023949339
"p_v_.19",34.7118357939949
"시간비율_게임",31.6834429362504
"n_v_.11",30.6313041377056
"p_v_.11",26.6103050042993
"cons_time8_we",25.593743453281
"소모시간_쇼핑",25.2945939965909
"p_v_.1",24.4551164301794
"s_prt_mean",24.3172198317162
"횟수_생활.가정.취미",23.9791022713762
"p_v_.9",23.7316820898028
"횟수비율_스포츠.레저",23.4594401996048
"p_v_.3",23.4249754096077
"횟수비율_뉴스.미디어",23.3974420857552
"횟수비율_게임",23.3415410949032
"cons_num9_we",22.4332141738
"interval",22.1192765196638
"시간비율_온라인교육",21.9475676303312
"p_v_.20",21.9231737899872
"소모시간_생활.가정.취미",21.4309166815841
"횟수비율_사회.문화.종교",21.0357696278022
"횟수비율_온라인교육",20.8881711160778
"시간비율_금융.부동산",20.7862903301287
"시간비율_제조",20.7286243826195
"n_v_.2",19.7259845957792
"mean_time_cnt",18.5937381584111
"소모시간_게임",18.1708491949899
"s_prt_sd",17.931804535008
"횟수비율_커뮤니티",17.6741636498833
"횟수_금융.부동산",17.5889697268751
"s_pr_sd",17.575310032019
"횟수_교육.학원",17.539780919674
"s_prt_median",17.4547314022105
"v_pr_max",17.3842080128711
"횟수비율_서비스",17.3789987165556
"n_v_.4",17.216841986586
"s_v_mean",17.1882817788602
"cat_coef_visit",16.9607039887967
"횟수비율_건강.의학",16.7604081499708
"시간비율_여행",15.8181673192817
"n_v_.16",15.7618224150886
"v_t_median",15.0706546914179
"sep_ratio",14.8566831126754
"cons_cnt18_we",14.6688917243482
"mean_time",14.6629871420768
"mon_ratio3",14.3377644620415
"wk_ratio2",14.1886416695677
"소모시간_스포츠.레저",13.9706053421601
"횟수비율_교육.학원",13.5736344998324
"v_t_max",13.4896225629492
"day_coef_cnt",13.249551019094
"횟수비율_비즈니스.경제",13.1947892275389
"nov_ratio2",12.9756511393089
"jan_z2",12.5639990666053
"시간비율_커뮤니티",11.9259832800842
"p_v_.8",11.9241808849525
"mon_day",11.9124786874798
"fri_ratio3",11.8692372493782
"cat_coef_cnt",11.7176060791097
"wednes_ratio2",11.5006822092315
"소모시간_뉴스.미디어",10.6540645908887
"시간비율_사회.문화.종교",10.5336838501599
"cons_num22",10.2701918662989
"시간비율_서비스",10.2027865670539
"cons_cnt5",10.1552129626119
"p_v_.21",10.0085825028722
"횟수_비즈니스.경제",9.89445933574626
"mon_z",9.76812052921102
"소모시간_정치.행정",9.61347823591833
"day_coef_visit",9.47315883331658
"cons_time0_ratio_we",9.4408333847221
"cons_num13_we",9.30673946560215
"시간비율_생활.가정.취미",9.20191173687085
"p_v_.17",8.98868357926578
"횟수_커뮤니티",8.97763922927445
"시간비율_인터넷.컴퓨터",8.81165307819405
"시간비율_비즈니스.경제",8.70228994568908
"dec_ratio2",8.66571790441027
"소모시간_문학.예술",8.46205795122868
"cons_num0_ratio_wk",8.42833658236895
"jan_cnt",8.39616088767265
"cons_time22_wk",8.33925975471488
"cons_cnt8_ratio",8.22651111444016
"cons_time13_we",7.86585024406944
"소모시간_건강.의학",7.78216455675012
"p_v_.18",7.67866856804199
"시간비율_스포츠.레저",7.53066892980462
"횟수비율_금융.부동산",7.52288707545238
"n_v_.1",7.45072708994
"시간비율_건강.의학",7.40688128789208
"cons_time8_ratio",7.25006756307567
"s_v_sd",7.19246579580853
"time9_z_wk",7.10874801836817
"시간비율_정치.행정",7.01961770717904
"소모시간_서비스",6.92504812047359
"day_coef_time",6.86200707769013
"net_day",6.81706486317334
"nov_z",6.76071461062676
"횟수_유통.판매.운송",6.75630756733724
"횟수_건강.의학",6.64951164451548
"cons_num5_ratio_wk",6.63580916283132
"cons_num13",6.58305835219475
"time0_z2_we",6.55290968347749
"fri_ratio2",6.54345379447764
"jan_day",6.5421434478685
"wednes_day",6.49985936504454
"cons_cnt13_ratio_we",6.47223511918244
"sep_ratio2",6.45920118168662
"cat_coef_time",6.44792150414099
"apr_ratio2",6.38340966414319
"p_v_.13",6.35288126232695
"jul_time",6.33863324858511
"mar_time",6.23320115590755
"시간비율_정보통신.IT",6.18531734696208
"cons_time9_ratio_we",6.15512589141676
"cons_time5_ratio_wk",6.05011097031273
"소모시간_교육.학원",6.03465422867838
"n_v_.20",6.02385055459484
"시간비율_문학.예술",5.97625555673873
"fri_z2",5.94160892272234
"횟수_사회.문화.종교",5.88207105148576
"nov_z2",5.81868771407788
"cons_time5_ratio",5.81518454253099
"jul_day",5.79827839709631
"시간비율_엔터테인먼트",5.76450354470151
"횟수비율_유통.판매.운송",5.72251896967393
"we_day",5.68057718147439
"횟수비율_정치.행정",5.64956207948905
"wk_day",5.62875698434799
"cons_cnt8",5.58416241280914
"thurs_ratio3",5.54073913068825
"횟수비율_제조",5.48937889196342
"mon_z2",5.28885307393676
"cons_num13_ratio",5.23726820436465
"cons_cnt8_ratio_we",5.2122379099533
"cons_time22",5.17832400036732
"n_v_.5",5.15366809070144
"횟수_서비스",5.10331334243588
"fab_ratio2",5.06586417118197
"oct_ratio",5.03459769658181
"cons_num18",4.95849062618149
"oct_z2",4.9321553335145
"cons_num18_wk",4.92976461949701
"jan_ratio2",4.91987551386312
"s_pr_median",4.8624502422617
"mon_ratio2",4.80691293944813
"s_t_sd",4.74281827102386
"횟수비율_학문",4.66328290602574
"jul_z2",4.6630101399969
"cons_cnt9_wk",4.66081731505915
"wednes_ratio",4.63128905534867
"time5_z2_wk",4.55077494165882
"cons_cnt0_wk",4.51143780161705
"tues_z",4.44487219387268
"cons_cnt8_wk",4.36689319974501
"jun_ratio",4.33306486381514
"횟수비율_인터넷.컴퓨터",4.32711214636219
"time22_z2",4.30916842034721
"cons_num8",4.26038073965911
"tues_ratio2",4.25664758891143
"횟수비율_생활.가정.취미",4.25543351266541
"jun_ratio2",4.24457635504681
"oct_ratio3",4.2384204001606
"time13_z_wk",4.10992085880866
"횟수비율_엔터테인먼트",4.02551314376594
"aug_time",3.99078628444694
"횟수_정보통신.IT",3.97905734520675
"cons_time0_ratio",3.90573676698342
"time12_z2_wk",3.8335500397035
"satur_ratio3",3.83344307263337
"mar_ratio",3.81652623049168
"we_ratio2",3.75149025185022
"n_v_.18",3.73993780827575
"cons_time13_ratio_wk",3.7004509143358
"s_v_max",3.64450178830222
"소모시간_온라인교육",3.60629849920387
"v_t_mean",3.53819256564957
"p_v_.14",3.53401015320733
"v_pr_sd",3.52236678762325
"mean_cnt",3.50454607373893
"횟수_온라인교육",3.47876166148313
"cons_cnt22_ratio",3.47602865284121
"cons_num8_ratio_we",3.42997398079503
"sep_z3",3.41259718025176
"cons_cnt18_wk",3.35790491729226
"mon_time",3.35316092773182
"n_v_.12",3.35183453606216
"횟수_엔터테인먼트",3.34394571463978
"횟수비율_여행",3.33833529181125
"nov_day",3.28920531649871
