"","Overall"
"V139",100
"V242",85.3747428250142
"V63",62.2114522666938
"V80",58.1317693319889
"V125",57.0011464261044
"V267",47.8138432122942
"V208",43.7533288569347
"p_v_.5",42.3405113066228
"V1",40.4962287218926
"V150",39.386925420798
"V243",33.1021637202246
"V207",32.8056537735141
"V77",31.0745466257975
"V175",30.2424479216639
"V62",29.6662217760283
"V294",29.2191151808641
"V55",28.7225930242867
"V249",28.1073168560363
"V71",28.0850025573993
"V106",27.9583987534497
"V154",25.6810140340112
"V135",25.1546717848086
"V56",24.792147323111
"V86",24.2537071099929
"V286",23.8592156747835
"V51",23.122760928608
"V75",22.673714680442
"V251",21.0021233812446
"V209",20.726249187304
"V180",20.170352097169
"V257",20.0963841759627
"V253",20.0774394027328
"V229",20.0619138896023
"V43",17.9265134277245
"p_v_.20",17.1911404111078
"V239",17.1901332835876
"V149",17.1673879509502
"V57",16.7677945652166
"V113",16.7115694955083
"V73",16.6836103092889
"V93",16.6799465202853
"V176",16.5358858393187
"V16",16.236976193702
"V88",16.221977039399
"p_v_.4",16.1090875768665
"V142",15.6167514235623
"V256",15.3883780053794
"V233",15.2233292842386
"V151",15.0871888530297
"interval",14.9375951875385
"V140",14.2940945813763
"V19",14.1558735822038
"V100",14.0539381856627
"V230",14.0390675126483
"V182",13.9916620617177
"V183",13.8555879434319
"V263",13.8409576547639
"wk_ratio2",13.7921969334666
"V28",13.7691076025404
"V53",13.7288971037706
"V126",13.4311520788666
"V254",13.4214538138572
"소모시간_게임",13.4163062731984
"V83",13.2251178266669
"V130",13.1567906484853
"s_v_mean",12.6773109131551
"V143",12.4433423420821
"V7",12.3075210418158
"V222",12.0017314304232
"V216",11.975570982244
"V203",11.625608674924
"V285",11.3209007930901
"V189",11.2564031862199
"V273",11.1159151139876
"p_v_.11",10.9345658474271
"V199",10.6443349056266
"V217",9.96873884466392
"V287",9.90168819025277
"V258",9.85294404718629
"V224",9.79053529739502
"V89",9.73600535178446
"V58",9.73164113253023
"V102",9.67798154403591
"V264",9.65180451762591
"V124",9.60236823342414
"v_t_median",9.45143173123936
"V3",9.17917988072543
"V300",9.15793902253176
"cons_num13_ratio_wk",9.1394004159561
"mon_ratio2",8.88383869928528
"V280",8.79873020699123
"cons_num13_ratio",8.66852892696117
"V133",8.59985775049075
"V255",8.58162998574231
"V76",8.52609291261155
"횟수_제조",8.49124547150084
"V214",8.48022094802861
"V131",8.46803180384372
"V236",8.45594627360123
"V288",8.42568271330267
"V259",8.23509522763714
"V299",8.19811748387052
"V186",8.18333799112542
"cons_num8",8.14598723716614
"소모시간_쇼핑",8.12165868348871
"V52",8.07592348930975
"jun_ratio2",8.0654957821458
"V197",8.06299661385492
"V74",8.05216274003672
"V122",8.01780021217649
"V201",7.90637377851077
"V116",7.816785019347
"V155",7.74748801466444
"V148",7.74459511339241
"wednes_ratio2",7.73980400469545
"mean_time",7.70834681178034
"net_day",7.69487699926728
"V40",7.64396939708332
"V8",7.64209191244688
"횟수비율_온라인교육",7.60887328251083
"satur_ratio2",7.57787199094232
"V160",7.35140921385739
"v_pr_max",7.22894996760406
"V184",7.22669118365957
"시간비율_커뮤니티",7.20602227442799
"횟수_커뮤니티",7.19525885809063
"V262",7.17292383666513
"V79",7.12313112050148
"V158",7.07776064739981
"V50",7.0302805944307
"V272",6.90659041454156
"V157",6.89280976020128
"V97",6.82719726731075
"cat_coef_visit",6.79370095200905
"fab_day",6.7354450490295
"p_v_.9",6.68848721033013
"wednes_cnt",6.67721815795382
"V231",6.57562261514379
"V60",6.57251005231385
"시간비율_비즈니스.경제",6.55652034872143
"V187",6.5291455451372
"V238",6.52612830713427
"V6",6.48993802932996
"V245",6.44816503230869
"V281",6.44328274334242
"time0_z",6.439357847204
"V153",6.42362925074644
"V42",6.33743902889366
"V252",6.28872389773105
"V134",6.27452878762113
"V25",6.24830202651879
"V227",6.17376630090807
"V172",6.12472374968745
"nov_ratio2",6.10381445610949
"V147",6.0521442553094
"p_v_.17",6.03840919110377
"satur_ratio3",6.00090508850972
"V146",5.99920581985423
"시간비율_서비스",5.98253640879961
"v_t_max",5.98128475237532
"n_v_.21",5.90969166272899
"V206",5.9076566849001
"V70",5.89612238083122
"V283",5.87642329810059
"cons_time22_wk",5.8529443787509
"V15",5.819000451218
"V163",5.81591275573423
"p_v_.21",5.80334231224128
"V64",5.5063308740495
"V98",5.50349599658522
"V161",5.46803101637776
"mean_time_cnt",5.43299292561302
"V250",5.39772273961729
"nov_ratio",5.23159643347548
"V45",5.18288544687056
"횟수비율_생활.가정.취미",5.16780754597133
"V47",5.12815241793289
"V109",5.12617960846944
"V112",5.1138081037459
"V292",5.10315244590865
"V48",5.07043945201155
"V171",5.05456165147693
"횟수_여행",5.03309698716766
"cons_time9_we",4.99991151369318
"V265",4.99361593055246
"V35",4.94463554769729
"n_v_.16",4.91983865900017
"V59",4.88424519750413
"횟수_생활.가정.취미",4.85681651466985
"횟수_쇼핑",4.82623382342866
"V29",4.79403061012821
"횟수비율_교육.학원",4.7791516479984
"jul_ratio2",4.77423620257056
"V14",4.70952307870014
"n_v_.5",4.67232981793331
"p_v_.10",4.63191623583644
"time13_z3_we",4.63135672054744
"V136",4.60276756155818
"V54",4.58516148046419
"day_coef_cnt",4.58114540405645
"V261",4.55872334691933
"V296",4.55496008853107
"cat_coef_time",4.55137919068144
"V95",4.52784639208171
"V26",4.47995602790067
"V212",4.47011684792959
"소모시간_온라인교육",4.46959877821755
"may_ratio2",4.46526357086719
"V24",4.45675064935894
"횟수비율_게임",4.40777855561916
"V37",4.40259371394105
"s_pr_max",4.35792367109006
"cons_cnt18_we",4.34214948449784
"V213",4.32853461246541
"p_v_.14",4.32622194927086
"횟수_금융.부동산",4.31212216398796
"p_v_.8",4.30300413705605
"V219",4.28859765450362
"시간비율_생활.가정.취미",4.2600830975529
"V31",4.25865736970536
"V181",4.23510799287484
"s_prt_median",4.230984157967
"V120",4.16743151025154
"V17",4.15993400537889
"V92",4.12987352840744
"V44",4.12759816623216
"V215",4.12641282273101
"s_prt_sd",4.08206605538033
"V27",4.04181825559131
"p_v_.12",3.99779061918324
"V159",3.9706561999454
"cons_num9_we",3.91670234785463
"s_v_median",3.916287892085
"횟수비율_금융.부동산",3.88965496432841
"mon_coef_time",3.8840307995345
"V223",3.82037039331894
"V165",3.74511351466906
"cons_num5_ratio_wk",3.73381130583118
"V90",3.73004804744292
"V34",3.71357757515772
"cons_cnt9",3.68238563393517
"sep_ratio",3.67929793845141
"V117",3.65823115168099
"cons_num12_we",3.65138434236666
"time_coef_cnt",3.5808398258175
"V297",3.54169447837571
"p_v_.2",3.53558540033132
"jan_cnt",3.49183544928891
"n_v_.15",3.46395500966573
"시간비율_온라인교육",3.46201121210615
"V244",3.4427887535106
"횟수비율_제조",3.42359945137661
"V293",3.41397164384804
"s_pr_sd",3.40983123070942
"V277",3.35181156751855
"s_pr_mean",3.33023500015148
"V266",3.3107058442864
"cons_time9",3.30734046343698
"jan_ratio3",3.29518447571366
"횟수비율_서비스",3.28500129745379
"cons_num22_ratio_wk",3.26282791377845
"thurs_ratio3",3.25194844982559
"시간비율_건강.의학",3.25006682063146
"n_v_.4",3.23137072086333
"jan_ratio2",3.23053352020868
"V279",3.19228754178698
"V104",3.18535784131873
"n_v_.19",3.17619836880985
"V178",3.10210611087264
"V39",3.09845061098448
"s_v_sd",3.07207050124737
"V5",3.07129546895815
"jul_day",3.06100453219818
"V226",3.05390076030668
"V121",3.05356505113327
"V225",3.04548316362544
"V132",2.97450761307586
"cons_time18_ratio",2.9728870910166
"n_v_.12",2.96587864395211
"mon_z",2.94259037425646
"s_pr_median",2.93897217538757
"V185",2.92938166887827
"apr_ratio",2.92051231540814
"cons_num0_wk",2.9201020041962
"cons_cnt8_we",2.91686096007767
"cons_num5_ratio",2.91069385822554
"tues_day",2.9074693923378
"V69",2.88034740677304
"V295",2.86524049396994
"V202",2.80207329012024
"V188",2.77645163444156
"V235",2.76417959910274
"V128",2.75627178301815
"oct_ratio2",2.69676422361431
"cons_time9_wk",2.68861187862563
"v_pr_sd",2.68457507942941
"V138",2.68045953363696
"V22",2.67882243334691
"fab_time",2.6676694285861
"cons_num9_ratio_we",2.66511638104516
"time13_z3_wk",2.6610132689258
"횟수비율_사회.문화.종교",2.6366515587868
"시간비율_정보통신.IT",2.6152241954968
"time12_z3_we",2.61323480780256
"V282",2.61134488949304
"cons_num9_ratio",2.61044552047293
"cons_num12_wk",2.59620067567066
"V179",2.5812719788485
"sun_z2",2.58123882238693
"V228",2.58028142955908
"tues_ratio2",2.56757007110445
"n_v_.17",2.56471861540937
"V152",2.56294888927304
"may_time",2.5400957981355
"V91",2.5138193023408
"V41",2.51124967656908
"V196",2.50789672939275
"cons_time22_ratio",2.47149093458823
"cons_cnt22_ratio_wk",2.46751630375745
"V114",2.45243425830052
"V248",2.45180014097299
"fri_ratio3",2.43402827757114
"횟수비율_비즈니스.경제",2.4227965262141
"V291",2.42007769636531
"V127",2.40487131417749
"cons_num8_wk",2.40184993161687
"wednes_day",2.36935245471998
"V101",2.36905404656585
"cons_cnt12_ratio_we",2.35354925622389
"p_v_.6",2.35215668483793
"cons_time12_ratio_wk",2.35214010660714
"V200",2.33619184859168
"횟수_사회.문화.종교",2.31513335093665
"cons_time0_wk",2.30959622185436
"V49",2.29213934483744
"mon_day",2.28048484859537
"V234",2.24152186169221
"소모시간_생활.가정.취미",2.22958968008449
"횟수비율_정보통신.IT",2.21805952057331
"V13",2.21319380983783
"V290",2.20794679979428
"V94",2.18918853166071
"V65",2.18077922409487
"cons_cnt13_we",2.1778075762266
"V12",2.16256803757721
"mon_z3",2.15911976557387
"p_v_.16",2.14597737311882
"time9_z_we",2.14124428822962
"V108",2.13523053501225
"cons_cnt18_ratio",2.13450938197309
"V46",2.13339449595278
"cons_num0_ratio_we",2.11583814955114
"V166",2.11454090299219
"sep_ratio2",2.11437926524204
"V275",2.10829505454383
"소모시간_커뮤니티",2.07214207775878
"횟수비율_쇼핑",2.07075779548821
"fab_ratio",2.06030107642038
"V11",2.05550996772343
"cons_time5_wk",2.05267509025914
"횟수비율_엔터테인먼트",2.04860099004365
"V190",2.03912653114985
"V204",2.03875352095718
"V61",2.03629994280096
"time18_z",2.0240734975968
"mon_ratio",2.02095264565147
"V20",2.01796441955242
"cons_cnt13_ratio",2.01664645020498
"V84",2.01297851664374
"time12_z_wk",2.01017265108332
"cons_cnt22",2.00837391304312
"tues_cnt",2.00642182636815
"cons_cnt12",1.98341538659585
"cons_time0_ratio_we",1.98340295292276
"time22_z2_we",1.97014036829451
"V85",1.96784013877305
"V111",1.9660911354252
"횟수비율_커뮤니티",1.96265529709495
"dec_ratio2",1.95049102025624
"횟수비율_인터넷.컴퓨터",1.94091709197772
"V194",1.89796289601301
"cons_time8_ratio",1.89411260191312
"소모시간_교육.학원",1.88730723817575
"fab_z2",1.88648247119418
"cons_num18_wk",1.88131006318917
"cons_time5_ratio_wk",1.87397005150898
"mon_coef_cnt",1.86962241048553
"mon_ratio3",1.85797205880116
"time8_z2",1.84035768859178
"V38",1.8270246464827
"cons_time8_ratio_wk",1.82467468226888
"s_t_max",1.7947634093745
"cons_cnt8_ratio",1.79155552171754
"s_prt_max",1.78448905084531
"V162",1.77531714466334
"jan_time",1.7458120384232
"cons_num18_we",1.74511989728791
"cons_time8",1.72140059359184
"time18_z2_we",1.71058329800443
"소모시간_건강.의학",1.6966327167986
"time9_z2_we",1.66572260549941
"V9",1.64837348698259
"V78",1.6480253441361
"jan_day",1.63756033595287
"횟수비율_유통.판매.운송",1.62645706588442
"time8_z3",1.62377968161259
"V278",1.59958375378144
"V173",1.57743938200998
"cons_cnt9_ratio_wk",1.57564064396977
"cons_time12_wk",1.55054534711852
"thurs_z",1.54807933528921
"V32",1.53125657559982
"V145",1.51207556258123
"V246",1.45013100325194
"cons_time0_ratio_wk",1.40188835166672
"s_prt_mean",1.22965711203821
"V144",1.22009976199049
"cons_time5_ratio_we",1.2029330040123
"apr_ratio2",1.08829868268964
"thurs_ratio",0.676744103444513
"cons_num9",0.123240080923318
"sum_time",0
"sum_cnt",0
"mean_cnt",0
"wk_time",0
"we_time",0
"wk_ratio1",0
"we_ratio1",0
"wk_z",0
"we_z",0
"wk_pat1주말형",0
"wk_pat1주중형",0
"wk_day",0
"we_day",0
"we_ratio2",0
"wk_z2",0
"we_z2",0
"wk_pat2주말형",0
"wk_pat2주중형",0
"wk_cnt",0
"we_cnt",0
"wk_ratio3",0
"we_ratio3",0
"wk_z3",0
"we_z3",0
"wk_pat3주말형",0
"wk_pat3주중형",0
"mon_time",0
"tues_time",0
"wednes_time",0
"thurs_time",0
"fri_time",0
"satur_time",0
"sun_time",0
"tues_ratio",0
"wednes_ratio",0
"fri_ratio",0
"satur_ratio",0
"sun_ratio",0
"tues_z",0
"wednes_z",0
"fri_z",0
"satur_z",0
"sun_z",0
"day_pat1목요일",0
"day_pat1수요일",0
"day_pat1월요일",0
"day_pat1유형없음",0
"day_pat1일요일",0
"day_pat1토요일",0
"day_pat1화요일",0
"thurs_day",0
"fri_day",0
"satur_day",0
"sun_day",0
"thurs_ratio2",0
"fri_ratio2",0
"sun_ratio2",0
"mon_z2",0
"tues_z2",0
"wednes_z2",0
"thurs_z2",0
"fri_z2",0
"satur_z2",0
"day_pat2목요일",0
"day_pat2수요일",0
"day_pat2월요일",0
"day_pat2유형없음",0
"day_pat2일요일",0
"day_pat2토요일",0
"day_pat2화요일",0
"mon_cnt",0
"thurs_cnt",0
"fri_cnt",0
"satur_cnt",0
"sun_cnt",0
"tues_ratio3",0
"wednes_ratio3",0
"sun_ratio3",0
"tues_z3",0
"wednes_z3",0
"thurs_z3",0
"fri_z3",0
"satur_z3",0
"sun_z3",0
"day_pat3목요일",0
"day_pat3수요일",0
"day_pat3월요일",0
"day_pat3유형없음",0
"day_pat3일요일",0
"day_pat3토요일",0
"day_pat3화요일",0
"mar_time",0
"apr_time",0
"jun_time",0
"jul_time",0
"aug_time",0
"sep_time",0
"oct_time",0
"nov_time",0
"dec_time",0
"jan_ratio",0
"mar_ratio",0
"may_ratio",0
"jun_ratio",0
"jul_ratio",0
"aug_ratio",0
"oct_ratio",0
"dec_ratio",0
"jan_z",0
"fab_z",0
"mar_z",0
"apr_z",0
"may_z",0
"jun_z",0
"jul_z",0
"aug_z",0
"sep_z",0
"oct_z",0
"nov_z",0
"dec_z",0
"month_pat111월",0
"month_pat112월",0
"month_pat11월",0
"month_pat12월",0
