"","Overall"
"V139",100
"V242",90.6507024042478
"V80",86.5639570218801
"V63",80.6913730334714
"V125",62.8759850105319
"V71",52.2685637318424
"V208",48.6414261516775
"V267",47.5554790408312
"V1",46.5807800155671
"V175",44.8537582617691
"V55",37.0957937813016
"V62",36.3608113507442
"V135",35.6688407893234
"V294",34.9831728568134
"V77",34.612747023172
"V86",31.4515659796724
"V28",30.0013481263303
"V209",29.8756597819705
"V150",29.7617560166131
"V106",28.412735238593
"V75",28.2879228997146
"V229",26.9926104788144
"V182",26.7431563915988
"V154",26.3619833538672
"V56",25.4468619224484
"V243",24.6056753536595
"V142",22.5428945305076
"V222",22.2863171355617
"V143",21.4814156359233
"V285",21.3353809116193
"V264",21.3228033171285
"V249",20.9841672613514
"V19",20.9341519589188
"V130",20.821797340097
"V140",20.3420045273807
"V207",20.1599890305672
"V3",19.7602400660748
"V73",19.454532595288
"V43",19.2887693054319
"V53",18.2560003378615
"V186",18.2523118937293
"V183",17.9364842543547
"V8",17.395071371855
"V149",17.3194444354795
"V286",17.3049811239261
"V116",17.2561000180642
"V102",16.6819982994428
"V158",16.6557273561113
"V57",16.6237669877058
"V253",16.4831496657209
"V88",16.3061320107064
"V199",16.3036423109172
"V200",15.6742738675301
"V113",15.5226603714761
"V281",15.4568723598232
"V42",15.3049222932422
"V213",15.1419207259301
"V287",15.1378864901605
"V234",15.0680135266312
"V204",14.9205541407811
"V160",14.4272385697652
"V16",14.0187802665657
"V250",13.990217877317
"V7",13.9635504262412
"V15",13.9222905680674
"V24",13.2931895368799
"V257",13.1843804349801
"V266",13.1391601099193
"V245",12.8838045120922
"V126",12.8813378650787
"V288",12.6974366512026
"V251",12.5325954723795
"V189",12.4290516244784
"V37",12.2464874716001
"V146",12.2190823316979
"V216",12.0106529643426
"V276",11.9962634216719
"V93",11.8273142381966
"V233",11.6581575797389
"V100",11.3095811670256
"V50",11.1851883886672
"V133",11.1196816208794
"V246",11.0185306511091
"V282",10.7939274562341
"V155",10.7153405434424
"V83",10.5387608911687
"V278",10.3902272459651
"V256",10.3006718224353
"V51",10.2486186546197
"V255",10.1629176552081
"V295",9.96131652005255
"V217",9.81826943549561
"V215",9.8122618821153
"V299",9.15105755531214
"V31",9.05993915358137
"V6",8.89270970718272
"V273",8.87218812614221
"V14",8.63838226315739
"V120",8.63519175898304
"V124",8.61752872214499
"V176",8.59511681348672
"V98",8.58648585421738
"V259",8.54174963744899
"V76",8.50048055816487
"V185",8.44413035293523
"V238",8.36967449757167
"V89",8.28954765935485
"V212",7.99637167750716
"V20",7.97131792073921
"V45",7.94927946704933
"V252",7.9161434070767
"V180",7.83988021408836
"V58",7.74594476315163
"V197",7.72441347052993
"V274",7.72258769068449
"V54",7.63397743096362
"V109",7.4759368210093
"V220",7.44161123780404
"V172",7.39882067531539
"V296",7.34587767035287
"V211",7.21724318124249
"V17",7.13891445954012
"V254",7.08942937095153
"V12",7.01287110243261
"V258",6.70455405742225
"V27",6.6722432868242
"V227",6.56073701015272
"V280",6.55833030035646
"V64",6.48023210641235
"V148",6.3533450177096
"V4",6.30825378819349
"V10",6.18576516911839
"V29",6.06957456839902
"V236",6.01609212848216
"V151",6.00208065133497
"V5",5.8720399428992
"V235",5.84640525618043
"V187",5.82066452669285
"V131",5.81011557647477
"V224",5.68186837399828
"V40",5.64929019120064
"V47",5.64547726207899
"V168",5.63050217890227
"V263",5.57427184810692
"V147",5.4667767544292
"V297",5.35598050325316
"V134",5.34713745844622
"V165",5.3316044980945
"V118",5.32779156897285
"V74",5.25681668275904
"V104",5.13278352770358
"V137",5.10406437957926
"V239",4.99327734951355
"V290",4.96065767171944
"V34",4.94776194892224
"V291",4.93428068561906
"V262",4.86749679405047
"V163",4.79244156651542
"V157",4.73577784353454
"V193",4.57562559931454
"V110",4.56945667650344
"V184",4.5312812797352
"V44",4.45319230690142
"V161",4.39591999063873
"V152",4.23680512133091
"V21",4.23420476821771
"V177",4.21684141746539
"V128",4.17259853009969
