"","Overall"
"횟수비율_쇼핑",100
"p_v_.4",74.9582775172449
"p_v_.12",66.9267186604194
"시간비율_뉴스.미디어",66.7813644802019
"p_v_.5",56.6560798164169
"p_v_.11",56.6378940712945
"시간비율_게임",48.7499415656359
"횟수비율_금융.부동산",44.9287780469342
"p_v_.9",36.0076296899559
"p_v_.20",34.5971247102384
"횟수비율_게임",33.9301961466473
"횟수비율_제조",30.7896455832707
"p_v_.19",27.7984095587938
"wk_z2",24.8907086656116
"시간비율_제조",23.1592620443802
"횟수비율_사회.문화.종교",22.9870731395712
"시간비율_온라인교육",22.1805610059616
"시간비율_스포츠.레저",21.1168336328918
"시간비율_금융.부동산",20.6627518070264
"횟수비율_온라인교육",20.6397872753329
"시간비율_커뮤니티",20.1487721570277
"시간비율_서비스",20.0569625810608
"p_v_.1",19.8042625666481
"cons_time9_we",19.0116637071482
"mean_time_cnt",18.7743681702019
"v_t_median",18.6027271959287
"시간비율_생활.가정.취미",18.4824460395928
"횟수비율_서비스",17.9200404275634
"횟수비율_건강.의학",17.2176004165937
"time5_z2_wk",17.2041587788945
"nov_z2",17.0180011133394
"day_coef_cnt",16.9297080029624
"시간비율_문학.예술",16.4634884753562
"s_prt_median",16.4631624913666
"cons_num9_we",16.4212284658098
"interval",16.2105873218862
"jan_z2",16.0927891925349
"s_prt_mean",15.7696488930485
"p_v_.3",14.6866329779553
"시간비율_쇼핑",14.645073487195
"횟수비율_교육.학원",14.5558787189745
"횟수비율_비즈니스.경제",14.3226059631766
"p_v_.16",14.0812737734228
"s_v_mean",13.4398621268056
"p_v_.17",13.3325093567809
"s_pr_max",12.6920756621324
"v_pr_max",12.6753533770485
"cons_cnt18_we",12.6100941566607
"cons_num5",12.1130795457808
"time0_z2_wk",12.039684597312
"시간비율_여행",11.2428063309697
"s_prt_sd",11.1553801992886
"p_v_.21",11.0976879689574
"cat_coef_visit",11.0866877432656
"횟수비율_생활.가정.취미",10.900953163314
"cons_time22",10.8436146602907
"시간비율_건강.의학",10.7501335493983
"p_v_.13",10.6628738776267
"시간비율_비즈니스.경제",10.6597458184924
"cons_num13_we",10.570516371124
"sep_z",10.5285546022489
"cons_time18_we",10.0643464652169
"cons_num8_wk",9.48549600128618
"p_v_.2",9.20021839540138
"s_pr_median",9.15598861025812
"횟수비율_유통.판매.운송",9.13039539915907
"s_v_max",9.12305035564853
"mean_time",9.03902278045478
"횟수비율_인터넷.컴퓨터",8.94932169667592
"횟수비율_뉴스.미디어",8.91799255452568
"cons_cnt8",8.87993565769628
"횟수비율_문학.예술",8.82403980722278
"sep_z3",8.43575819645127
"cons_cnt9_wk",8.19690209785263
"s_pr_sd",8.03370202816141
"apr_z2",7.83976236183307
"day_coef_visit",7.49788145085902
"dec_z2",7.27453386717026
"time8_z3",7.0888339663665
"time13_z3",6.93902004773793
"s_v_sd",6.80056008210912
"time12_z2_wk",6.74965802892324
"time0_z",6.61332736297124
"sep_z2",6.61266152333289
"time0_z_we",6.54951079513321
"time9_z_wk",6.36055799026293
"jun_z2",6.24277373257078
"cons_cnt8_wk",6.16627153245628
"시간비율_교육.학원",6.14093494705118
"cons_num12_we",6.02132656618314
"net_day",5.96192118594917
"time8_z_wk",5.90535256000776
"시간비율_정치.행정",5.8987288427721
"time22_z3_wk",5.81317538507379
"wk_day",5.80206418610884
"cons_time13_we",5.4351102512532
"cat_coef_cnt",5.38790499522607
"wk_cnt",5.31729825024279
"jun_z3",5.28263297407123
"cons_num18_wk",5.24176706626755
"fab_z2",5.21317064096637
"cons_cnt8_we",5.20750406821083
"시간비율_인터넷.컴퓨터",5.1262577606731
"may_z2",5.08833958043502
"cons_num0",5.00479057748133
"cons_time22_wk",4.967579851859
"cons_cnt13_wk",4.88318467769824
"시간비율_사회.문화.종교",4.75771552084681
"time8_z2_we",4.73624912833962
"s_t_max",4.72402126081452
"cons_time12",4.70821450523329
"day_coef_time",4.6814630105967
"cons_cnt0_wk",4.65768005101441
"시간비율_정보통신.IT",4.6215305073157
"cons_cnt12_wk",4.57338891429715
"v_pr_mean",4.52670384548747
"time5_z2",4.48357685724523
"s_t_mean",4.43918754802195
"cons_time0_we",4.42693887300815
"wk_z",4.40073530890728
"nov_z",4.36629197928185
"시간비율_엔터테인먼트",4.24978391422987
"횟수비율_스포츠.레저",4.2091815679497
"cons_cnt0_we",4.19546249706788
"oct_z3",4.1654303550465
"p_v_.18",4.15209969062039
"v_t_max",4.11235738720642
"횟수비율_커뮤니티",4.09490684001802
"p_v_.15",3.77642048217055
"time8_z2_wk",3.75966351793876
"cons_time13",3.72350010258092
"time0_z2_we",3.69248307276115
"apr_z",3.68281452634596
"s_t_median",3.64844055501618
"time18_z3",3.6307195104747
"v_pr_sd",3.61954588904365
"time22_z2_wk",3.58624003546706
"time13_z2_we",3.5445903789224
"cons_time5_wk",3.52623123806084
"oct_z2",3.49787756679447
"may_z",3.44632354562937
"cons_num8_we",3.44263368430018
"fab_z",3.41106872394469
"time_pat2_we출근",3.41029191103328
"p_v_.8",3.38829839547906
"month_pat21월",3.29885393739415
"cons_num22",3.2418622258492
"oct_z",3.19861039267477
"time5_z3_we",3.04815837772611
"jan_z3",2.95720190879578
"mar_z",2.94189453294332
"jul_z",2.85575846556146
"time13_z3_we",2.70922519431767
"time_pat3_we저녁",2.7053688730789
"sum_time",0
"sum_cnt",0
"mean_cnt",0
"wk_time",0
"we_time",0
"wk_pat1주말형",0
"wk_pat1주중형",0
"we_day",0
"wk_pat2주말형",0
"wk_pat2주중형",0
"we_cnt",0
"wk_z3",0
"wk_pat3주말형",0
"wk_pat3주중형",0
"jan_z",0
"jun_z",0
"aug_z",0
"dec_z",0
"month_pat111월",0
"month_pat112월",0
"month_pat11월",0
"month_pat12월",0
"month_pat13월",0
"month_pat14월",0
"month_pat15월",0
"month_pat16월",0
"month_pat17월",0
"month_pat18월",0
"month_pat19월",0
"month_pat1유형없음",0
"mar_z2",0
"jul_z2",0
"aug_z2",0
"month_pat211월",0
"month_pat212월",0
"month_pat22월",0
"month_pat23월",0
"month_pat24월",0
"month_pat25월",0
"month_pat26월",0
"month_pat27월",0
"month_pat28월",0
"month_pat29월",0
"month_pat2유형없음",0
"fab_z3",0
"mar_z3",0
"apr_z3",0
"may_z3",0
"jul_z3",0
"aug_z3",0
"nov_z3",0
"dec_z3",0
"month_pat311월",0
"month_pat312월",0
"month_pat31월",0
"month_pat32월",0
"month_pat33월",0
"month_pat34월",0
"month_pat35월",0
"month_pat36월",0
"month_pat37월",0
"month_pat38월",0
"month_pat39월",0
"month_pat3유형없음",0
"cons_time0",0
"cons_time5",0
"cons_time8",0
"cons_time9",0
"cons_time18",0
"time5_z",0
"time8_z",0
"time9_z",0
"time12_z",0
"time13_z",0
"time18_z",0
"time22_z",0
"time_pat1새벽",0
"time_pat1아침",0
"time_pat1오전",0
"time_pat1오후",0
"time_pat1유형없음",0
"time_pat1저녁",0
"time_pat1점심",0
"time_pat1출근",0
"cons_num8",0
"cons_num9",0
"cons_num12",0
"cons_num13",0
"cons_num18",0
"time0_z2",0
"time8_z2",0
"time9_z2",0
"time12_z2",0
"time13_z2",0
"time18_z2",0
"time22_z2",0
"time_pat2새벽",0
"time_pat2아침",0
"time_pat2오전",0
"time_pat2오후",0
"time_pat2유형없음",0
"time_pat2저녁",0
"time_pat2점심",0
"time_pat2출근",0
"cons_cnt0",0
"cons_cnt5",0
"cons_cnt9",0
"cons_cnt12",0
"cons_cnt13",0
"cons_cnt18",0
"cons_cnt22",0
"time0_z3",0
"time5_z3",0
"time9_z3",0
"time12_z3",0
"time22_z3",0
"time_pat3새벽",0
"time_pat3아침",0
"time_pat3오전",0
"time_pat3오후",0
"time_pat3유형없음",0
"time_pat3저녁",0
"time_pat3점심",0
"time_pat3출근",0
"cons_time0_wk",0
"cons_time8_wk",0
"cons_time9_wk",0
"cons_time12_wk",0
"cons_time13_wk",0
"cons_time18_wk",0
"time0_z_wk",0
"time5_z_wk",0
"time12_z_wk",0
"time13_z_wk",0
"time18_z_wk",0
"time22_z_wk",0
"time_pat_wk새벽",0
"time_pat_wk아침",0
"time_pat_wk오전",0
"time_pat_wk오후",0
"time_pat_wk유형없음",0
"time_pat_wk저녁",0
"time_pat_wk점심",0
"time_pat_wk출근",0
"cons_num0_wk",0
"cons_num5_wk",0
"cons_num9_wk",0
"cons_num12_wk",0
"cons_num13_wk",0
"cons_num22_wk",0
"time9_z2_wk",0
"time13_z2_wk",0
"time18_z2_wk",0
"time_pat2_wk새벽",0
