"","Overall"
"횟수비율_쇼핑",100
"p_v_.4",93.5475276004256
"p_v_.5",67.3689741841802
"p_v_.12",55.9509122550324
"p_v_.20",49.2334716125743
"시간비율_게임",46.5850154074665
"시간비율_뉴스.미디어",42.6724403099228
"p_v_.9",35.221413053117
"p_v_.19",28.6638629788508
"s_v_mean",25.6142930577725
"시간비율_온라인교육",25.275398072404
"v_t_median",23.5904558226922
"wk_z2",22.8209380819367
"mean_time_cnt",21.5225749866986
"p_v_.16",20.9032800445597
"횟수비율_사회.문화.종교",19.7806722200053
"횟수비율_인터넷.컴퓨터",19.4217038829033
"cons_time9_we",18.1714059867429
"interval",18.094760075818
"v_pr_max",16.3804785182229
"횟수비율_비즈니스.경제",15.5673085982531
"s_pr_median",14.9318822326417
"시간비율_커뮤니티",14.8209782632792
"p_v_.3",14.794905421433
"시간비율_서비스",14.6507063602909
"nov_z2",12.9213498714197
"s_prt_sd",12.250723264166
"cons_time22",11.2635681309302
"p_v_.1",11.185273399397
"time8_z3",11.1325353872927
"cons_num13_we",11.0095389121664
"time0_z2_wk",10.61905246852
"time5_z2_wk",10.591143754988
"횟수비율_건강.의학",10.0082198556797
"day_coef_cnt",9.30653237784872
"sep_z",8.65580246297774
"jan_z2",7.86338482087434
"p_v_.13",5.80047469406757
"time13_z3",5.64186577214685
"net_day",0
