CUS_ID,F20-,F30,F40+,M20-,M30,M40+
2501,0.059290811,1.174011763,0.069857712,0.030036934,0.100035292,0.048986146
2502,0.054932605,0.21211032,0.197068314,0.050392514,0.365131901,0.278135949
2503,0.030391525,0.095503631,0.027334233,0.083499115,0.387290095,0.161110549
2504,0.244768976,0.150941552,0.075517503,0.356994785,0.195142613,0.176236191
2505,0.023755406,0.152062039,0.090456852,0.059242725,0.282759255,0.459741464
2506,0.006919794,0.334269653,0.028734875,0.004463789,0.181112018,0.08812848
2507,0.015396749,0.028077232,0.060348989,0.027477496,0.280786606,0.651722927
2508,0.004658474,0.015680958,0.020997496,0.012875649,0.531082797,0.356566499
2509,0.019079829,0.053127587,0.106536336,0.02685135,0.179311619,0.610868215
2510,0.004214349,0.018333141,0.018872741,0.022807038,0.556388573,0.338770544
2511,0.086231988,0.026968946,0.044381512,0.163844522,0.031995484,0.021873173
2512,0.070191569,0.275865128,0.038331061,0.163642414,0.362310512,0.081203098
2513,0.013195629,0.056330564,0.116812627,0.05269504,0.307775388,0.530514486
2514,0.010154814,0.134045601,0.033564712,0.025139527,0.079327148,0.04347664
2515,0.030953151,0.152276153,0.452130923,0.090299999,0.278095884,0.526996773
2516,0.156307938,0.118471416,0.061088907,0.117091358,0.465367067,0.191056816
2517,0.029740898,0.295361208,0.166966752,0.020728385,0.299703483,0.397970577
2518,0.277177127,0.196205937,0.061264613,0.028652028,0.066143994,0.041572136
2519,0.012304622,0.478722042,0.005226661,0.001834919,0.041178191,0.009399221
2520,0.021542864,0.139374637,0.009883512,0.044784707,0.740656116,0.125775912
2521,0.02480494,0.026974813,0.319783406,0.033171065,0.058628732,0.618837101
2522,0.042978061,0.096816638,0.126224126,0.041233361,0.081380892,0.028901292
2523,0.098924056,0.868915195,0.100928279,0.01158195,0.29030653,0.141917515
2524,0.088108495,0.160003428,0.154786877,0.067768654,0.185476232,0.36315691
2525,0.070037189,0.089930638,0.146103501,0.275483931,0.509194318,0.117809969
2526,0.029082252,0.07466167,0.061301105,0.036673543,0.18828062,0.144446161
2527,1.213752908,0.208332208,0.074420593,0.061903792,0.108106046,0.066842807
2528,0.007954916,0.017638217,0.014819337,0.046099328,0.192667212,0.69230608
2529,0.061161962,0.07532904,0.414528985,0.098735498,0.150331828,0.421750418
2530,0.002351564,0.01293014,0.091032639,0.010596497,0.079908046,0.811946195
2531,0.084930143,0.130067981,0.182581954,0.034865791,0.222726732,0.22636715
2532,0.041948741,0.155488549,0.172724233,0.10726641,0.294851307,0.401419357
2533,0.002377295,0.007913499,0.021894884,0.003448075,0.019467874,0.902835492
2534,0.659344942,0.24280708,0.095002987,0.336828939,0.19309809,0.075810423
2535,0.040731372,0.102759001,0.046832549,0.068298754,0.157875354,0.614683244
2536,0.061564502,0.233766204,0.11286922,0.093123564,0.216348592,0.431474733
2537,0.021157276,0.283701302,0.05384296,0.004559018,0.056212299,0.029972759
2538,0.627907877,0.185540011,0.041748693,0.095618184,0.26385498,0.060589975
2539,0.050756744,0.255523401,0.089373459,0.034103034,0.213492417,0.088953354
2540,0.39765793,0.134015231,0.02968544,0.047699268,0.1100172,0.030874477
2541,0.108369106,0.063390934,0.025708668,0.344344529,0.323056276,0.084936135
2542,0.246117693,0.209256011,0.082460627,0.018720456,0.321697438,0.057106638
2543,0.011562736,0.017112898,0.075918262,0.010788056,0.369716706,0.491223249
2544,0.073253739,0.050823533,0.042481549,0.313894453,0.071949857,0.207748753
2545,0.010551348,0.197359663,0.021455489,0.005473179,0.37358918,0.211851766
2546,0.04539536,0.037998225,0.014835946,0.432183445,0.381184409,0.049000871
2547,0.144709006,0.193521036,0.052085485,0.034510626,0.242546981,0.113718128
2548,0.07404125,0.053540825,0.0453832,0.438276592,0.196780413,0.043440663
2549,0.010467569,0.027813902,0.047030918,0.070316813,0.36410959,0.443669165
2550,0.012850674,0.027394855,0.0148865,0.262255061,0.594385148,0.116759017
2551,0.087301592,0.322658535,0.116160453,0.198643332,0.287320429,0.309179735
2552,0.062437818,0.380378809,0.100936255,0.042440392,0.12963823,0.190416631
2553,0.232893943,0.040996713,0.016631153,0.04908185,0.031041023,0.003523126
2554,0.02924478,0.096859705,0.03444236,0.148351984,0.569837315,0.137409523
2555,0.007799335,0.037770157,0.020495052,0.014388749,0.696410588,0.153343105
2556,0.035339367,0.188707843,0.390222858,0.051042069,0.304142112,0.186789042
2557,0.39509555,0.584950992,0.425258267,0.040672298,0.062502936,0.028680788
