,Overall
p_v_.5,100
횟수비율_쇼핑,70.108609313
p_v_.4,67.08961313
시간비율_뉴스.미디어,60.453380749
횟수_쇼핑,50.980323662
mean_time_cnt,41.984472868
p_v_.11,37.958292636
v_t_median,35.05561251
p_v_.20,33.392852434
소모시간_게임,28.561462347
횟수비율_뉴스.미디어,26.416277691
시간비율_게임,26.076310566
n_v_.11,25.995446749
p_v_.9,25.949368416
interval,25.403625406
v_pr_max,24.879484614
p_v_.1,24.775884477
p_v_.12,24.469777644
시간비율_제조,24.036333697
횟수비율_제조,23.845905237
시간비율_쇼핑,23.47126469
cat_coef_visit,23.443538423
p_v_.17,23.414172421
횟수비율_건강.의학,23.046580548
n_v_.4,22.848465051
소모시간_제조,22.623023961
횟수비율_생활.가정.취미,22.527674726
횟수비율_금융.부동산,22.259304673
jan_z2,21.450353417
mon_coef_time,21.42280775
시간비율_금융.부동산,21.39574229
시간비율_생활.가정.취미,21.220259397
v_pr_sd,21.111307838
횟수비율_게임,21.0707648
횟수비율_온라인교육,20.88087899
시간비율_온라인교육,20.731459627
횟수비율_인터넷.컴퓨터,20.682044415
v_t_max,20.676743481
day_coef_visit,20.451557209
p_v_.21,20.443619414
시간비율_인터넷.컴퓨터,20.170508114
p_v_.10,19.85346433
p_v_.13,19.785859524
nov_z,19.688443775
dec_z3,19.604617503
횟수비율_커뮤니티,19.578117445
mon_coef_visit,19.575921636
시간비율_서비스,19.494063875
p_v_.19,19.476724381
cat_coef_time,19.226793293
소모시간_뉴스.미디어,19.182071742
dec_z2,19.121000729
net_day,18.920727399
nov_z2,18.912821708
p_v_.18,18.901009623
day_coef_time,18.729762644
day_coef_cnt,18.714318514
v_t_sd,18.630595536
횟수비율_정보통신.IT,18.482677888
mon_coef_cnt,18.456467613
횟수비율_엔터테인먼트,18.291079851
시간비율_엔터테인먼트,18.270195649
cat_coef_cnt,18.253723217
시간비율_커뮤니티,18.020432626
p_v_.16,17.974456427
횟수비율_서비스,17.837821818
oct_z,17.797940525
횟수비율_비즈니스.경제,17.746033733
소모시간_생활.가정.취미,17.714991471
cons_time9_we,17.667371767
nov_z3,17.645977892
dec_z,17.637217083
fab_z2,17.567668614
wk_z2,17.510917699
소모시간_온라인교육,17.447141654
소모시간_금융.부동산,17.422681605
wk_day,17.391603269
p_v_.3,17.32003131
시간비율_정보통신.IT,17.254028563
소모시간_서비스,17.150092894
횟수_교육.학원,17.073644323
p_v_.7,16.879843194
소모시간_쇼핑,16.833990771
mar_z2,16.763320637
시간비율_교육.학원,16.758653807
횟수_제조,16.720160693
jan_z,16.623963849
p_v_.2,16.510049218
jan_z3,16.465675085
oct_z3,16.463657166
소모시간_정보통신.IT,16.449818765
시간비율_비즈니스.경제,16.430921565
시간비율_건강.의학,16.330733007
소모시간_교육.학원,16.314207413
횟수비율_정치.행정,16.123301554
횟수_생활.가정.취미,16.094403971
sep_z3,16.019467456
횟수_금융.부동산,15.830045507
횟수_서비스,15.805170547
횟수비율_교육.학원,15.788079343
p_v_.15,15.751926318
fab_z,15.678330942
time13_z3_we,15.605604103
mar_z,15.581821609
time12_z_we,15.400134188
소모시간_유통.판매.운송,15.343383063
횟수_커뮤니티,15.33411263
소모시간_커뮤니티,15.332277334
횟수_뉴스.미디어,15.196653977
횟수_정치.행정,15.164366938
시간비율_정치.행정,14.952321972
fab_z3,14.825898004
apr_z3,14.807842359
time12_z3_we,14.800444968
n_v_.5,14.738290412
time13_z2_we,14.734685854
oct_z2,14.596310182
apr_z2,14.489342767
횟수_정보통신.IT,14.459140581
시간비율_유통.판매.운송,14.449045989
time13_z_we,14.341178413
횟수비율_유통.판매.운송,14.325293514
time9_z_we,14.319797996
소모시간_정치.행정,14.270146927
cons_num9_we,14.241749605
time9_z2_we,14.07105726
소모시간_건강.의학,14.04809329
jul_z,14.026317366
소모시간_비즈니스.경제,13.974921272
dec_cnt,13.966861794
소모시간_엔터테인먼트,13.934798048
n_v_.13,13.902155699
time12_z2_we,13.88899621
n_v_.20,13.852108842
횟수_온라인교육,13.841912688
n_v_.21,13.825784918
횟수비율_사회.문화.종교,13.749468298
횟수_게임,13.734509437
jan_day,13.71388895
jun_z2,13.618324521
sep_z,13.574989455
sep_z2,13.553224157
p_v_.8,13.496362613
dec_time,13.451289768
mar_z3,13.41164779
time9_z3_we,13.389257389
aug_z,13.382874042
time18_z_we,13.343594769
dec_day,13.306629576
횟수_엔터테인먼트,13.190672203
v_t_mean,13.190556322
cons_time13_we,13.149375004
시간비율_여행,13.09242326
jul_z2,13.033674468
time18_z2_we,12.874027825
mean_time,12.846042405
jan_cnt,12.82268747
횟수_비즈니스.경제,12.784135522
횟수비율_여행,12.770734103
nov_time,12.742934922
cons_time12_we,12.732913859
p_v_.14,12.694709632
cons_cnt9_we,12.647872409
jan_time,12.637431909
cons_num12_we,12.624612341
n_v_.10,12.619438867
nov_day,12.546466142
may_z3,12.392871649
mean_cnt,12.32140814
time_coef_visits,12.283521123
time13_z_wk,12.256500743
nov_cnt,12.182226988
aug_z2,12.113607406
aug_z3,12.109590956
time_coef_time,12.094782531
time8_z_we,12.054005921
sep_cnt,12.013351998
v_pr_mean,12.000040922
n_v_.19,11.971631792
fab_time,11.96103951
횟수비율_스포츠.레저,11.870378051
jun_z3,11.852846862
cons_cnt12_we,11.843336199
time13_z2,11.841339653
time18_z3_we,11.836543141
jun_z,11.803501508
sep_day,11.800084569
시간비율_사회.문화.종교,11.769048988
may_z2,11.757763934
횟수_유통.판매.운송,11.740933931
time12_z,11.724189979
wk_z3,11.667181343
time_coef_cnt,11.664298311
fab_cnt,11.624881863
jul_z3,11.619354739
cons_num8,11.601756293
may_z,11.58105948
횟수_건강.의학,11.574737369
oct_cnt,11.555209525
we_day,11.536920113
n_v_.18,11.502257312
cons_time8_we,11.475111404
time13_z2_wk,11.452635068
wk_z,11.451178357
oct_day,11.384228996
time13_z,11.312249312
time12_z_wk,11.273705739
time12_z3,11.222058939
cons_cnt8_we,11.209423168
n_v_.3,11.160362299
소모시간_여행,11.124804057
apr_z,11.109867205
횟수_인터넷.컴퓨터,11.080892471
oct_time,11.063375564
n_v_.16,11.042547087
cons_num13_we,11.032715579
time8_z3,11.005052255
time8_z,10.967946794
cons_time18_we,10.88589503
time13_z3_wk,10.879611302
n_v_.9,10.867060514
mar_time,10.815083501
n_v_.15,10.804427806
time12_z3_wk,10.788496676
cons_num8_wk,10.786269477
n_v_.2,10.764565281
time18_z2_wk,10.756173054
time8_z2,10.647346241
cons_time8,10.644872814
apr_time,10.620537873
jul_cnt,10.616714546
time9_z,10.544932797
jul_day,10.541380016
cons_cnt13_we,10.531521999
fab_day,10.50916563
소모시간_인터넷.컴퓨터,10.432219843
cons_time18_wk,10.432110934
cons_num18_wk,10.392722278
time18_z_wk,10.388773317
time8_z3_we,10.38112441
time18_z3_wk,10.358607485
time9_z_wk,10.35372079
n_v_.7,10.271729479
time12_z2_wk,10.257768403
we_time,10.158617585
aug_cnt,10.152488072
mar_day,10.143175925
jul_time,10.136360428
time12_z2,10.098220236
time13_z3,10.017231983
may_cnt,10.00257958
time0_z2_we,9.9885068273
횟수_여행,9.9858048881
sep_time,9.9486377144
소모시간_스포츠.레저,9.8848932539
소모시간_사회.문화.종교,9.8747279435
