변수명,Overall
p_v_.4,100
p_v_.5,79.236778265
시간비율_뉴스.미디어,58.358807731
횟수비율_쇼핑,55.08764635
mean_time_cnt,53.881323117
p_v_.16,40.73933114
횟수_쇼핑,39.140876256
v_t_median,38.527824079
횟수비율_금융.부동산,38.455569377
p_v_.1,29.587529363
횟수_서비스,27.19953181
p_v_.11,23.804419572
시간비율_온라인교육,23.652191823
횟수_커뮤니티,23.246843965
횟수_교육.학원,22.703302639
day_coef_visit,20.954357777
n_v_.11,20.651848379
cons_cnt8_we,18.807066955
횟수_생활.가정.취미,17.261558203
sep_day,16.545230582
소모시간_정치.행정,16.221507163
횟수비율_문학.예술,16.187361481
mon_coef_time,15.542993852
v_pr_max,14.279476601
p_v_.12,13.581898618
n_v_.4,13.486910616
interval,13.30833175
p_v_.20,12.949847824
횟수비율_비즈니스.경제,12.851719639
시간비율_여행,12.311176223
wk_z,12.227671739
wk_z3,12.170664202
소모시간_생활.가정.취미,11.96905885
wk_z2,11.901743078
횟수비율_사회.문화.종교,11.517456804
시간비율_게임,11.393414486
횟수비율_교육.학원,11.383953287
time0_z_we,10.577612161
소모시간_게임,10.410720061
cons_time13_we,10.222598696
cons_num8_wk,9.5488515534
jan_z2,9.3599527647
time22_z_we,9.2048287299
횟수비율_뉴스.미디어,9.0515491715
p_v_.8,9.044313539
시간비율_금융.부동산,8.9897109356
cons_time9,8.8779295591
cons_time8_we,8.7256052669
cons_num8,8.683202631
oct_z2,8.6174061382
n_v_.1,8.3706781825
n_v_.9,8.3287430172
cons_num13_we,8.0628640088
cons_num12_wk,8.0416499878
p_v_.3,7.8895391061
소모시간_서비스,7.7836011126
time0_z3_we,7.7789111626
n_v_.5,7.7244305081
횟수비율_온라인교육,7.586806135
횟수비율_커뮤니티,7.0576903435
시간비율_사회.문화.종교,7.0550176309
v_pr_median,7.0401195448
time12_z2_wk,7.0216188861
횟수비율_서비스,6.908770457
may_z3,6.7694184751
jun_z2,6.6118402194
cons_cnt0_we,6.5889544828
v_pr_sd,6.5789241888
p_v_.22,6.5098909699
소모시간_비즈니스.경제,6.4317115864
sep_z,6.2046173976
시간비율_생활.가정.취미,6.1285467131
횟수_정치.행정,5.9497137868
wk_day,5.7947574316
cons_cnt8,5.6364982947
시간비율_커뮤니티,5.6204721816
횟수_비즈니스.경제,5.4738896484
소모시간_뉴스.미디어,5.4593574089
횟수비율_생활.가정.취미,5.2819421381
time8_z3,5.2771962948
time0_z2_we,5.1864561784
횟수비율_인터넷.컴퓨터,5.175287695
횟수비율_여행,5.1122096457
time5_z2_wk,4.9635590629
jan_time,4.946684389
jan_z,4.9326551886
횟수비율_건강.의학,4.8947443358
cons_num9,4.6980814695
time18_z2,4.6293480416
nov_z3,4.5928751692
cons_num9_we,4.5454319803
cons_num5_we,4.5406556498
nov_z2,4.3499631966
jul_time,4.2302754688
시간비율_엔터테인먼트,4.2212207657
fab_cnt,4.2132483588
time_pat3_we저녁,4.1774614488
time12_z_we,4.1763232594
time18_z3,4.1622686529
시간비율_서비스,4.1317611124
nov_day,4.1183518186
cons_time5_wk,3.9595489931
소모시간_유통.판매.운송,3.9462667294
p_v_.19,3.9366581752
mean_time,3.8508468254
횟수_금융.부동산,3.8134390116
cons_num9_wk,3.8133424688
jul_cnt,3.8050143777
fab_z,3.6871152332
mar_z2,3.6777200896
소모시간_문학.예술,3.664138035
횟수_유통.판매.운송,3.5569703905
소모시간_정보통신.IT,3.5495061038
cons_time5,3.4881703988
time5_z_wk,3.4700513384
소모시간_스포츠.레저,3.4461036304
cons_time0_we,3.4361038237
cons_cnt13_wk,3.2901666031
p_v_.15,3.265060381
time9_z2_we,3.2090858529
cat_coef_cnt,3.1879023191
cons_time9_we,3.1089404304
cons_num0_wk,3.101908046
time8_z2_wk,3.0710041716
소모시간_커뮤니티,2.9558946074
횟수_엔터테인먼트,2.8773747833
time5_z,2.8765516284
time9_z2,2.8557644285
time12_z3_we,2.837848108
p_v_.21,2.8154552481
