변수명,Overall
횟수비율_쇼핑,100
횟수비율_제조,75.826996098
p_v_.12,72.989772712
횟수비율_게임,64.121637949
p_v_.5,59.632710677
p_v_.9,51.92406488
시간비율_제조,50.260732112
횟수_쇼핑,50.155974782
횟수비율_스포츠.레저,47.476983472
횟수비율_생활.가정.취미,41.529895948
소모시간_게임,33.412908708
횟수비율_정치.행정,33.173743406
횟수비율_뉴스.미디어,32.508086499
시간비율_커뮤니티,30.066095623
mar_cnt,29.731489991
소모시간_문학.예술,28.451308026
time13_z2_wk,25.5165148
소모시간_생활.가정.취미,25.499270284
cons_time5_we,24.235396172
시간비율_온라인교육,24.163248345
v_pr_sd,24.012743424
횟수_건강.의학,23.868025961
interval,23.375881136
p_v_.13,22.495418356
횟수비율_인터넷.컴퓨터,21.743064957
mon_coef_cnt,21.141308284
v_t_max,20.92216647
시간비율_뉴스.미디어,19.53411944
p_v_.20,18.459258864
time22_z_wk,18.015411089
cat_coef_visit,17.563232599
cons_num13_wk,17.45639104
jan_z2,17.278760124
횟수_교육.학원,16.70547303
oct_z2,16.47888754
mean_time_cnt,16.205518548
p_v_.21,16.202807809
횟수_게임,15.243361426
시간비율_서비스,15.117079467
n_v_.4,15.067789927
cons_time18_wk,14.190540334
v_t_sd,13.959358374
jan_z3,13.950698898
n_v_.11,13.81955994
횟수비율_사회.문화.종교,13.410914548
mar_z2,13.379924044
시간비율_생활.가정.취미,13.33188132
time5_z,13.254584951
p_v_.3,13.153475022
횟수비율_온라인교육,13.040200886
횟수_정치.행정,13.0090429
n_v_.20,13.004440227
p_v_.19,12.888653851
횟수_사회.문화.종교,12.882016573
time18_z_we,12.767942242
time8_z3,12.415347728
cons_time8,12.353174426
시간비율_비즈니스.경제,12.192564716
n_v_.19,11.839963998
p_v_.17,11.700432296
jul_day,11.535207507
cat_coef_time,11.477711315
v_pr_max,11.427993764
time_coef_visits,11.425537351
n_v_.14,11.326598494
n_v_.10,11.135209184
time5_z2_wk,11.063383916
cons_cnt9,10.915819248
time13_z2_we,10.785362627
day_coef_visit,10.566146376
fab_z2,10.562982814
time_coef_cnt,10.339988898
cons_num8_wk,10.169863688
mar_z3,10.133588175
n_v_.7,9.9325717113
aug_z2,9.8233543788
횟수비율_교육.학원,9.8161278103
time13_z3_wk,9.7147325404
p_v_.15,9.7142673107
p_v_.4,9.4992505335
wk_z2,9.4770993951
nov_z2,9.404182388
time22_z2_wk,9.2129047334
cons_time22,9.1874907838
소모시간_온라인교육,9.1322152883
횟수비율_엔터테인먼트,9.1296162048
소모시간_사회.문화.종교,9.0856675026
시간비율_쇼핑,9.0286737586
time5_z2,8.9001835089
시간비율_정보통신.IT,8.8862762414
time22_z,8.7416270123
횟수_정보통신.IT,8.6469806752
시간비율_학문,8.6337433384
may_z2,8.6309767723
cons_num18_we,8.5614342316
cons_cnt5_we,8.5263248943
we_time,8.3977788171
n_v_.2,8.3142607751
cons_time5,8.1929102512
횟수비율_금융.부동산,8.0959625776
n_v_.5,8.0920360386
jul_z2,8.0489867805
apr_z,8.0462388235
p_v_.14,7.9578327678
jun_z3,7.8944436658
cons_num13,7.7466308745
p_v_.7,7.7123961691
time13_z_we,7.7000148551
wk_day,7.6486783047
