"CUS_ID","d_v_ 1","d_v_ 2","d_v_ 3","d_v_ 4","d_v_ 5","d_v_ 6","d_v_ 7","d_v_ 8","d_v_ 9","d_v_ 10","d_v_ 11","d_v_ 12","d_v_ 13","d_v_ 14","d_v_ 15","d_v_ 16","d_v_ 17","d_v_ 18","d_v_ 19","d_v_ 20","d_v_ 21","d_v_ 22","n_v_ 1","n_v_ 2","n_v_ 3","n_v_ 4","n_v_ 5","n_v_ 6","n_v_ 7","n_v_ 8","n_v_ 9","n_v_ 10","n_v_ 11","n_v_ 12","n_v_ 13","n_v_ 14","n_v_ 15","n_v_ 16","n_v_ 17","n_v_ 18","n_v_ 19","n_v_ 20","n_v_ 21","n_v_ 22","p_v_ 1","p_v_ 2","p_v_ 3","p_v_ 4","p_v_ 5","p_v_ 6","p_v_ 7","p_v_ 8","p_v_ 9","p_v_ 10","p_v_ 11","p_v_ 12","p_v_ 13","p_v_ 14","p_v_ 15","p_v_ 16","p_v_ 17","p_v_ 18","p_v_ 19","p_v_ 20","p_v_ 21","p_v_ 22"
1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,NA,148,1,4,1090,3,8,1,NA,4,17,61,225,2,82,NA,1636,NA,4,NA,540,NA,NA,3.868,0.026,0.105,28.489,0.078,0.209,0.026,NA,0.105,0.444,1.594,5.881,0.052,2.143,NA,42.76,NA,0.105,NA,14.114,NA
2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,6,4,74,350,2,244,1,12,19,2041,NA,67,18,6,7,1990,32,4,7,524,NA,0.074,0.111,0.074,1.367,6.467,0.037,4.508,0.018,0.222,0.351,37.712,NA,1.238,0.333,0.111,0.129,36.77,0.591,0.074,0.129,9.682,NA
3,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,17,NA,1,7,88,NA,8,1,12,13,468,NA,20,10,NA,1,1478,4,3,2,101,NA,0.761,NA,0.045,0.313,3.939,NA,0.358,0.045,0.537,0.582,20.949,NA,0.895,0.448,NA,0.045,66.159,0.179,0.134,0.09,4.521,NA
4,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,60,477,NA,8,NA,NA,4,121,1,16,2,3,5,1051,20,29,3,165,NA,0.051,0.051,NA,3.05,24.25,NA,0.407,NA,NA,0.203,6.151,0.051,0.813,0.102,0.153,0.254,53.432,1.017,1.474,0.153,8.388,NA
5,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,10,7,2,200,1308,NA,6,1,7,NA,210,1,21,7,25,1,2066,4,39,4,252,1,0.24,0.168,0.048,4.794,31.352,NA,0.144,0.024,0.168,NA,5.034,0.024,0.503,0.168,0.599,0.024,49.521,0.096,0.935,0.096,6.04,0.024
6,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,2,NA,1,48,10,NA,4,NA,NA,NA,45,1,3,2,78,NA,189,1,14,NA,38,NA,0.459,NA,0.229,11.009,2.294,NA,0.917,NA,NA,NA,10.321,0.229,0.688,0.459,17.89,NA,43.349,0.229,3.211,NA,8.716,NA
7,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,29,5,1,134,504,NA,23,NA,10,2,60,NA,153,4,15,NA,1561,4,61,3,177,NA,1.056,0.182,0.036,4.88,18.354,NA,0.838,NA,0.364,0.073,2.185,NA,5.572,0.146,0.546,NA,56.846,0.146,2.221,0.109,6.446,NA
8,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,NA,NA,1,56,68,NA,4,NA,7,11,336,NA,5,6,NA,NA,861,9,15,13,82,NA,NA,NA,0.068,3.799,4.613,NA,0.271,NA,0.475,0.746,22.795,NA,0.339,0.407,NA,NA,58.412,0.611,1.018,0.882,5.563,NA
9,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,6,257,3,9,329,NA,7,2,13,23,896,3,174,14,12,NA,1992,6,8,10,291,NA,0.148,6.338,0.074,0.222,8.113,NA,0.173,0.049,0.321,0.567,22.096,0.074,4.291,0.345,0.296,NA,49.125,0.148,0.197,0.247,7.176,NA
10,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,3,637,NA,181,721,NA,2,1,13,4,33,13,28,2,NA,NA,4610,24,5,4,99,NA,0.047,9.984,NA,2.837,11.301,NA,0.031,0.016,0.204,0.063,0.517,0.204,0.439,0.031,NA,NA,72.257,0.376,0.078,0.063,1.552,NA
