CUS_ID,s_v_min,s_t_min,s_pr_min,s_prt_min,s_v_max,s_t_max,s_pr_max,s_prt_max,s_v_mean,s_t_mean,s_pr_mean,s_prt_mean,s_v_median,s_t_median,s_pr_median,s_prt_median,s_v_sd,s_t_sd,s_pr_sd,s_prt_sd
1,1,0,1,0,78,12285,240,150.25,7.7922606925,729.07942974,27.812627291,17.995757716,4,181,12,15,8.5218579212,1394.7788837,37.903226983,17.815933076
2,1,1,2,0.5,108,17875,541,113.5,29.573770492,4568.568306,139.33333333,33.412349152,25,3562,112,30.884210526,21.835895704,3991.8671145,115.25348715,17.110303652
3,1,0,1,0,66,11192,370,290.66666667,10.688995215,1858.2679426,49.822966507,42.997634971,8,1199,31,34.723404255,9.9244222582,2121.7485997,55.128017524,34.989202683
4,1,0,1,0,46,11689,910,427.5,7.8366533865,1097.8964143,51.119521912,35.40491926,5,508,20,23.489795918,7.5504444343,1667.6977799,99.868201433,46.808172174
5,1,0,1,0,88,19992,644,312,11.155080214,1342.0374332,35.473262032,38.817379385,7,587.5,16,31.166183575,13.179011397,2290.6584706,61.770812941,37.408269392
6,1,0,1,0,21,3906,143,411,3.488,452.344,15.776,38.523098257,2,154,6,22.229166667,3.4068621454,666.14592153,23.523448836,55.252213125
7,1,0,1,0,41,15907,976,344,4.9477477477,1032.636036,36.14954955,42.157393829,3,467,12,27.947368421,4.4973888703,1677.2471927,78.914231504,46.019764077
8,1,0,1,0,62,5228,163,188.66666667,4.549382716,313.7037037,18.12037037,16.028513475,3,69.5,8.5,7.4734848485,6.132744646,581.36136153,26.500791831,24.793068758
9,1,0,1,0,39,16550,305,197.02380952,8.5729386892,1133.0021142,46.625792812,22.107548018,6,690,31,18.823529412,6.9711471977,1451.9768107,47.315716683,23.061402331
10,4,579,33,2.041958042,501,101277,3419,50.938679245,116,22219.036364,791.70909091,24.356699946,68,10650,404,27.729166667,115.62102846,28129.444041,867.16602436,11.268265701
11,1,0,1,0,59,4279,395,182,6.6309012876,388.67811159,23.957081545,17.687239842,4,133,12,11.68,7.8675067006,642.76984424,40.069528517,22.143455574
12,1,0,1,0,20,5729,585,128.57142857,4.8661971831,479.88732394,30.816901408,16.42955694,4,129,15.5,8.5096153846,3.2621379954,793.03638669,60.569943125,21.510597856
13,1,0,1,0,42,7120,177,320.5,10.116883117,1386.3246753,34.649350649,45.259357114,7.5,974.5,23,38.193023256,8.490230486,1336.9256087,33.511927473,36.62339397
14,1,0,1,0,87,22758,496,117,23.98757764,4001.7018634,133.98757764,27.908247108,18,2192,85,27.136363636,19.881520181,4258.5427743,127.16735959,18.089650106
15,1,0,1,0,118,29731,976,506.5,12.766129032,1201.0947581,52.352822581,26.306096063,7,517,22,20.005813953,14.887244284,2187.9586845,82.369226087,34.57920066
16,1,0,1,0,29,10070,229,143.4,4.7169811321,343,13.328301887,15.551287378,3,62,7,7.7777777778,4.4320516424,859.91016532,20.61299584,21.976005392
17,1,0,1,0,48,13701,414,199.33333333,7.0585106383,917.20744681,38.744680851,26.400172877,4,252,13,20.089430894,7.7956371944,1616.5433362,62.011373145,26.098136259
18,1,0,1,0,40,12577,727,259.25,6.0737100737,1273.8968059,28.493857494,40.633820134,5,697,17,36.452054795,4.8853326013,1656.9014018,45.641182862,30.236595038
19,1,0,1,0,65,16853,690,599.66666667,11.959537572,1903.5491329,69.867052023,33.023459599,7,881,35,25.56741573,11.731669711,2659.5987226,103.126924,63.941274618
20,1,0,1,0,39,9624,301,132.75,5.7356828194,551.63876652,31.555066079,16.109273407,4,101,12,9.8,5.4098161228,1074.1641047,51.650033268,21.686097603
21,1,0,1,0,23,8129,248,299.5,3.876344086,549.37096774,18.279569892,30.906842331,2,131.5,5,12.462162162,4.1330284126,1003.2607955,33.357479194,49.055226826
22,1,0,1,0,63,12057,465,141.75,8.3746130031,936.53869969,39.541795666,20.787638594,4,208,15,16.970588235,10.298898184,1698.896734,66.439581337,20.013718858
23,1,0,1,0,152,14278,899,158.66666667,18.529010239,1669.9146758,81.689419795,21.915500248,11,839,42,17.923076923,21.796616192,2218.6109076,112.8764438,22.764339897
24,1,0,1,0,60,9646,479,298.5,12.14057508,1345.7060703,41.268370607,33.869599934,9,810,26,29,11.31028218,1579.2632116,51.558575627,30.14660559
25,1,0,1,0,92,7746,458,73.619047619,24.694117647,1134.5029412,106.66470588,9.5920803546,21,585,83.5,7.5112737127,20.144184418,1401.9674576,101.88662472,9.5396288925
26,1,0,1,0,89,23725,729,139.13888889,16.086956522,2306.1086957,73.569565217,30.659027884,9,952,32,27.00461935,18.290983875,3338.3691625,107.06583672,25.041342192
27,1,0,1,0,67,11624,562,210.2,16.783018868,1719.0440252,67.578616352,27.592929151,13,1192.5,45.5,23.428548387,12.842657171,1757.32953,69.62190667,23.730757743
28,1,0,1,0,107,13982,397,232,17.700704225,2085.75,82.137323944,25.819831664,12,1165.5,48.5,22.094006721,16.676252117,2484.944691,86.515049945,20.324741472
