"","CUS_ID","d_v_ 1","d_v_ 2","d_v_ 3","d_v_ 4","d_v_ 5","d_v_ 6","d_v_ 7","d_v_ 8","d_v_ 9","d_v_ 10","d_v_ 11","d_v_ 12","d_v_ 13","d_v_ 14","d_v_ 15","d_v_ 16","d_v_ 17","d_v_ 18","d_v_ 19","d_v_ 20","d_v_ 21","d_v_ 22","n_v_ 1","n_v_ 2","n_v_ 3","n_v_ 4","n_v_ 5","n_v_ 6","n_v_ 7","n_v_ 8","n_v_ 9","n_v_ 10","n_v_ 11","n_v_ 12","n_v_ 13","n_v_ 14","n_v_ 15","n_v_ 16","n_v_ 17","n_v_ 18","n_v_ 19","n_v_ 20","n_v_ 21","n_v_ 22","p_v_ 1","p_v_ 2","p_v_ 3","p_v_ 4","p_v_ 5","p_v_ 6","p_v_ 7","p_v_ 8","p_v_ 9","p_v_ 10","p_v_ 11","p_v_ 12","p_v_ 13","p_v_ 14","p_v_ 15","p_v_ 16","p_v_ 17","p_v_ 18","p_v_ 19","p_v_ 20","p_v_ 21","p_v_ 22"
"1",1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,NA,148,1,4,1090,3,8,1,NA,4,17,61,225,2,82,NA,1636,NA,4,NA,540,NA,NA,0.039,0,0.001,0.285,0.001,0.002,0,NA,0.001,0.004,0.016,0.059,0.001,0.021,NA,0.428,NA,0.001,NA,0.141,NA
"2",2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,6,4,74,350,2,244,1,12,19,2041,NA,67,18,6,7,1990,32,4,7,524,NA,0.001,0.001,0.001,0.014,0.065,0,0.045,0,0.002,0.004,0.377,NA,0.012,0.003,0.001,0.001,0.368,0.006,0.001,0.001,0.097,NA
"3",3,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,17,NA,1,7,88,NA,8,1,12,13,468,NA,20,10,NA,1,1478,4,3,2,101,NA,0.008,NA,0,0.003,0.039,NA,0.004,0,0.005,0.006,0.209,NA,0.009,0.004,NA,0,0.662,0.002,0.001,0.001,0.045,NA
"4",4,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,60,477,NA,8,NA,NA,4,121,1,16,2,3,5,1051,20,29,3,165,NA,0.001,0.001,NA,0.031,0.243,NA,0.004,NA,NA,0.002,0.062,0.001,0.008,0.001,0.002,0.003,0.534,0.01,0.015,0.002,0.084,NA
"5",5,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,10,7,2,200,1308,NA,6,1,7,NA,210,1,21,7,25,1,2066,4,39,4,252,1,0.002,0.002,0,0.048,0.314,NA,0.001,0,0.002,NA,0.05,0,0.005,0.002,0.006,0,0.495,0.001,0.009,0.001,0.06,0
"6",6,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,2,NA,1,48,10,NA,4,NA,NA,NA,45,1,3,2,78,NA,189,1,14,NA,38,NA,0.005,NA,0.002,0.11,0.023,NA,0.009,NA,NA,NA,0.103,0.002,0.007,0.005,0.179,NA,0.433,0.002,0.032,NA,0.087,NA
"7",7,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,29,5,1,134,504,NA,23,NA,10,2,60,NA,153,4,15,NA,1561,4,61,3,177,NA,0.011,0.002,0,0.049,0.184,NA,0.008,NA,0.004,0.001,0.022,NA,0.056,0.001,0.005,NA,0.568,0.001,0.022,0.001,0.064,NA
"8",8,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,NA,NA,1,56,68,NA,4,NA,7,11,336,NA,5,6,NA,NA,861,9,15,13,82,NA,NA,NA,0.001,0.038,0.046,NA,0.003,NA,0.005,0.007,0.228,NA,0.003,0.004,NA,NA,0.584,0.006,0.01,0.009,0.056,NA
"9",9,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,6,257,3,9,329,NA,7,2,13,23,896,3,174,14,12,NA,1992,6,8,10,291,NA,0.001,0.063,0.001,0.002,0.081,NA,0.002,0,0.003,0.006,0.221,0.001,0.043,0.003,0.003,NA,0.491,0.001,0.002,0.002,0.072,NA
"10",10,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,3,637,NA,181,721,NA,2,1,13,4,33,13,28,2,NA,NA,4610,24,5,4,99,NA,0,0.1,NA,0.028,0.113,NA,0,0,0.002,0.001,0.005,0.002,0.004,0,NA,NA,0.723,0.004,0.001,0.001,0.016,NA
"11",11,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,19,NA,78,86,NA,67,NA,1,39,450,4,15,26,1,2,601,33,20,3,100,NA,NA,0.012,NA,0.05,0.056,NA,0.043,NA,0.001,0.025,0.291,0.003,0.01,0.017,0.001,0.001,0.389,0.021,0.013,0.002,0.065,NA
"12",12,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,NA,54,NA,27,21,NA,1,NA,1,3,1,NA,14,1,32,NA,336,7,1,NA,192,NA,NA,0.078,NA,0.039,0.03,NA,0.001,NA,0.001,0.004,0.001,NA,0.02,0.001,0.046,NA,0.486,0.01,0.001,NA,0.278,NA
"13",13,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,421,970,NA,NA,NA,NA,NA,9,85,13,3,3,NA,1242,1,86,2,281,NA,NA,NA,NA,0.135,0.311,NA,NA,NA,NA,NA,0.003,0.027,0.004,0.001,0.001,NA,0.399,0,0.028,0.001,0.09,NA
"14",14,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,NA,14,25,17,1,73,NA,3,25,1215,8,54,5,13,48,2076,66,12,1,205,NA,0,NA,0.004,0.006,0.004,0,0.019,NA,0.001,0.006,0.315,0.002,0.014,0.001,0.003,0.012,0.538,0.017,0.003,0,0.053,NA
