QRY,Freq
사진,4241
우편번호,4139
공개,3510
싸이,3387
갤럭시,3233
가격,2798
추천,2747
결혼,2649
영화,2547
로또,2474
아이폰,2445
이유,2417
맛집,2406
대구,2382
시청률,2270
고백,2245
부산,2178
수지,2150
여자,2138
날씨,1972
남자,1959
서울,1956
아이유,1948
방법,1828
네이버,1775
노출,1749
갤럭시노트,1712
해명,1697
순위,1681
태풍,1653
유재석,1527
박근혜,1509
동영상,1459
무한도전,1456
옵티머스,1450
강남스타일,1449
토렌트,1428
엑셀,1414
쇼핑몰,1407
시즌,1364
스마트폰,1354
한국,1353
포착,1350
다음,1338
국민은행,1334
페이스북,1329
눈물,1311
사망,1308
일본,1301
회당첨번호,1299
카드,1258
채용,1254
삼성,1251
원피스,1227
안철수,1222
흔한,1178
한혜진,1177
다운,1175
하차,1173
티아라,1159
현아,1156
가장,1150
드라마,1140
하하,1139
셀카,1136
쿠팡,1128
런닝맨,1125
로이킴,1125
다이어트,1120
윈도우,1111
광주,1106
모습,1093
다운로드,1086
연예인,1081
선물,1077
사과,1074
인터넷,1069
인천,1053
롯데시네마,1052
실제,1044
소녀시대,1029
근황,1016
대전,1014
공식,1011
구글,1006
시간,994
이효리,993
지하철,990
편성표,988
아내,983
김태희,978
열애,978
김연아,970
과거,960
포토샵,953
경기도,949
런던올림픽,945
좋은,944
경기,941
류현진,939
없는,933
카카오톡,932
문자,926
차이,924
우리은행,919
영어,905
프로그램,896
장윤정,884
기성용,883
올림픽,882
버스,877
아이패드,875
게임,868
지마켓,866
윤후,864
신한은행,862
광고,860
나이키,858
패딩,858
블로그,857
카페,857
마인크래프트,853
박시후,851
미국,843
정준영,839
제주도,838
학교,838
홍대,837
티몬,836
농협인터넷뱅킹,829
반전,829
케이스,829
지드래곤,828
컴퓨터,822
만들기,819
송지효,814
번가,799
가방,797
몸매,796
손연재,792
고양이,791
사이즈,790
음식,790
일산,790
운세,786
머리,781
아파트,780
겨울,777
오연서,777
패션,772
남편,771
피자,771
연말정산,770
콘서트,763
노래,758
중국,757
파일,757
다시보기,756
강남,754
뮤비,753
올레,752
입장,748
이하이,746
옥션,744
홈쇼핑,744
자동차,739
공무원,731
아빠,731
젠틀맨,731
호텔,728
농협,725
어플,722
슈퍼스타,721
신한카드,717
발견,716
후기,716
홈페이지,714
있는,713
핸드폰,713
조회,708
감량,706
응답하라,703
연봉,702
부동산,699
북한,698
아들,693
아디다스,693
인터파크,687
택배,685
유투브,684
아기,683
이병헌,679
화영,679
제주,672
현대카드,670
한글,668
변신,667
위치,664
송혜교,662
